fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230419 120146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	394943	0.139308606915525	0.707289617639035	4123	658	10920	65400000	1
20230419 120212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	394943	0.123070571525255	0.490184937417507	3199	356	7643	62160000	2
20230419 120240	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	394943	0.150114510037354	0.443856521761045	5692	529	9904	64020000	3
20230419 120401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	394943	0.0299229180238908	0.789327630922198	7076	690	6961	60120000	4
20230419 120418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	394943	0.225497148549766	0.677354184351862	2711	941	5015	51915000	5
20230419 120435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	394943	0.104288856109604	0.913378804698586	6086	491	12842	65040000	6
20230419 120511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	394943	0.0928407302923733	0.438814614210278	3653	758	8359	64095000	7
20230419 120529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	394943	0.250408423840767	0.37463728797622	1697	412	14156	63975000	8
20230419 120607	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	394943	0.0675430344929919	0.605549433445558	2155	252	14783	65820000	9
20230419 120645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236	TRUE	394943	0.074357706752955	0.343506501959637	6619	993	13909	64845000	10
20230419 120658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	394943	0.279755131331971	0.551818709596992	3283	419	7011	59490000	11
20230419 120713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	394943	0.171950164623675	0.80740827312693	4459	186	6378	58875000	12
20230419 120728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	394943	0.196817118772538	0.992220070678741	1526	578	11728	65625000	13
