Feature	Gain	Cover	Frequency
ctrx_quarter	0.0942286177271271	0.0253999918923797	0.0204323866044934
mcaja_ahorro	0.0601169398298882	0.0224849417317358	0.0215204182563233
mcuentas_saldo	0.0539208539609942	0.0297668725961808	0.0228769252508125
cpayroll_trx	0.050177543866387	0.024752307398355	0.00447929913805285
mpasivos_margen	0.0442748216801727	0.0228873381838983	0.0203334746361453
mtarjeta_visa_consumo	0.0371539779713645	0.014309291960028	0.0133813762893882
mpayroll	0.0356796230327998	0.027767846789587	0.00664123216051999
mcuenta_corriente	0.0264206702860861	0.011829254680676	0.0176204606471669
ctarjeta_visa_transacciones	0.0217921267346866	0.016413416070818	0.0152889642503886
Visa_mpagominimo	0.0199392985364533	0.0176884892861181	0.0176769817719373
Visa_msaldototal	0.018845359696482	0.011978900298663	0.0177476331779002
Visa_msaldopesos	0.0175240230742601	0.0120362676926436	0.0181856718948707
mrentabilidad	0.0164490408891015	0.0121053199451656	0.0208562950402713
Visa_mpagospesos	0.0154210309779267	0.0125989395655007	0.0205454288540342
mrentabilidad_annual	0.0153310644415135	0.0165918780740399	0.0208421647590787
mtransferencias_recibidas	0.0138680449513684	0.0112170071624248	0.015868305779285
ctarjeta_debito_transacciones	0.0129670964959205	0.0109637209680401	0.0127313833545288
Visa_status	0.0129306781340192	0.00916476231238686	0.00313692242475625
Visa_mconsumospesos	0.0128828482078727	0.0104379539346627	0.0191465310159672
Visa_fechaalta	0.01275459142829	0.0117463346636995	0.0256323300833687
Master_fechaalta	0.0126661294420821	0.0158730376659485	0.0251942913663982
cliente_edad	0.0126015035313496	0.0170255474868551	0.0247845132118129
mactivos_margen	0.0124064773033851	0.0132851073362481	0.0182139324572559
Master_Fvencimiento	0.0122876424846187	0.0118134288431673	0.0247421223682351
Visa_Fvencimiento	0.0120511760536698	0.0132551262430882	0.0245442984315388
chomebanking_transacciones	0.0116803939449732	0.0203949092968131	0.0198247845132118
mautoservicio	0.0113323726697162	0.011489689798123	0.0119400876077434
ccomisiones_otras	0.0108824941024503	0.00687933537991559	0.0109368376430691
numero_de_cliente	0.0108226567258167	0.0146493673237443	0.0227356224388865
cdescubierto_preacordado	0.0102537833833081	0.00877872613649605	0.00389995760915642
cliente_antiguedad	0.00996295947745099	0.0106200722361807	0.0210541189769676
cextraccion_autoservicio	0.00951135626541078	0.00624007013930097	0.00614667231877914
mprestamos_personales	0.00918809529440005	0.019165755428611	0.00979228486646884
mcomisiones_otras	0.00917191767048138	0.010029448294571	0.0173661155857002
mcomisiones	0.00899566064085682	0.00890350929464844	0.0170835099618482
mcomisiones_mantenimiento	0.00890158359030801	0.0156733916158953	0.0111064010173802
Master_mfinanciacion_limite	0.00888594477706831	0.00976376496377627	0.0201356506994489
Visa_mconsumototal	0.0083355204737737	0.00831977961308185	0.0156280909990109
Master_mlimitecompra	0.00818929744993499	0.00982660390495496	0.0179595873957892
Visa_mfinanciacion_limite	0.00818587581497341	0.00858027428064446	0.0184682775187226
mextraccion_autoservicio	0.00801226056987157	0.0102719084182197	0.00822382365409072
mcuenta_debitos_automaticos	0.00747489887592272	0.0153060819899719	0.0109933587678395
mcaja_ahorro_dolares	0.00705966337826359	0.00916299129289972	0.0144270170976402
Visa_cconsumos	0.00703799475245025	0.00796751351689158	0.0143987565352551
Visa_mlimitecompra	0.00685636857931327	0.00763881340581254	0.015274833969196
cprestamos_personales	0.00679715380651851	0.0128076268451104	0.00689557722198672
ctransferencias_recibidas	0.00620782024499022	0.00672156076405363	0.0105129292072912
mtransferencias_emitidas	0.00610091653997447	0.0107698523853046	0.0119824784513212
Master_status	0.00606428478080326	0.0114769572553168	0.00322170411191183
cproductos	0.00599290312579384	0.0103039037926486	0.00905751024445386
mttarjeta_visa_debitos_automaticos	0.00584701946561633	0.0059429203441636	0.0125759502614102
Master_msaldopesos	0.0057277219264772	0.00559468373195735	0.00976402430408365
Master_msaldototal	0.00502040640516209	0.00766442500136157	0.00932598558711318
ccomisiones_mantenimiento	0.00496123297726872	0.0112733692586633	0.00515755263529744
Master_mpagominimo	0.00489682600841931	0.00587276143482367	0.00952380952380953
mpagomiscuentas	0.00483079367509362	0.00666531016279851	0.00819556309170553
Master_mpagospesos	0.00458996849504602	0.0073509711381672	0.00912816165041684
catm_trx	0.00398774003454038	0.00300044794629936	0.00388582732796383
Master_mconsumospesos	0.00380120183662743	0.00665002705706811	0.00757383071923131
ccajas_consultas	0.00371857858421166	0.0178730844348689	0.00347604917337855
internet	0.00365693050158918	0.00944370617462774	0.00356083086053412
ctarjeta_visa_debitos_automaticos	0.00363484659762222	0.00439757499627584	0.00801186943620178
ctarjeta_visa	0.0036115816256848	0.00394971531285609	0.00170976402430408
ccallcenter_transacciones	0.00352812557216096	0.0104484372274334	0.00493146813621591
ctransferencias_emitidas	0.00350442133119103	0.00698117545054952	0.00796947859262399
matm	0.00335860667849547	0.00685347683680019	0.00676840469125336
thomebanking	0.00316721385952971	0.00559872980197195	0.00411191182704536
mtarjeta_master_consumo	0.00308664728142199	0.00284385462439293	0.00450755970043804
Visa_mconsumosdolares	0.00298762993383189	0.00688698891158065	0.00575102444538646
tmobile_app	0.00287222345142972	0.0145481390933494	0.00278366539494136
ccaja_ahorro	0.00284931831775481	0.0102016177420813	0.00349017945457115
tcallcenter	0.00268352869388523	0.00725021929542833	0.00317931326833404
Master_mconsumototal	0.00265011869541258	0.00430700144763428	0.00511516179171966
ccuenta_debitos_automaticos	0.00260851177983461	0.0058796778095742	0.00522820404126042
ccaja_seguridad	0.00252141970814514	0.0124995385628077	0.00204889077292638
cpagomiscuentas	0.00242153209454801	0.00678890834121079	0.00536950685318638
ccajas_transacciones	0.00239229399776632	0.00326555721614689	0.00202063021054119
Master_cconsumos	0.00215811315088189	0.00340377229472807	0.004648862512364
cmobile_app_trx	0.0021549775359065	0.00367836600972711	0.00374452451603787
Master_fultimo_cierre	0.00173547392742291	0.00185817815638165	0.00414017238943055
Visa_mpagosdolares	0.00167648181031762	0.00235967798413296	0.00286844708209693
ctarjeta_master_transacciones	0.00164011470079099	0.00206217527512276	0.00254345061466723
ctarjeta_debito	0.00159354854485674	0.00312268883454277	0.0042956054825491
Visa_fultimo_cierre	0.00156609758098342	0.00172788382884705	0.00333474636145259
ccajas_otras	0.00154429832037099	0.00831015787245501	0.00128585558852621
Visa_msaldodolares	0.00129539098385766	0.00670814542965542	0.00241627808393387
mplazo_fijo_dolares	0.00105468587648241	0.00387212309747932	0.00169563374311149
Visa_Finiciomora	0.00102781559182671	0.0083807130036365	0.00122933446375583
Master_mconsumosdolares	0.00100435225953637	0.00118986432610402	0.00173802458668928
matm_other	0.00098841362325388	0.00419709688035544	0.0023032358343931
Visa_madelantopesos	0.000925208790545777	0.000391374113398112	0.000353257029814893
ctarjeta_master	0.000870922328243999	0.000588097336285148	0.00104564080825208
Visa_mpagado	0.000850820876060806	0.00307501873977272	0.001992369648156
catm_trx_other	0.00080864497295231	0.00242645887191208	0.00180867599265225
cseguro_vida	0.000778064584308095	0.00480576458034041	0.00135650699448919
