fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230413 032846	-0.769594018842326	4039	889	14	5	52770000	1
20230413 032919	-0.110603534347319	3053	65	8	5	51924000	2
20230413 032950	-0.0282520969645701	7282	3244	11	5	49659000	3
20230413 033012	-0.447911744035082	7872	3575	5	5	49452000	4
20230413 033050	-0.219489627087023	4808	2119	20	5	53094000	5
20230413 033110	-0.855873545749637	3613	1101	3	5	50340000	6
20230413 033153	-0.908433662202151	5959	733	17	5	50640000	7
20230413 033239	-0.584481969926856	1559	331	13	5	50466000	8
20230413 033302	-0.062879240750044	6968	1377	5	5	50328000	9
20230413 033356	-0.39795836668262	814	72	15	5	50505000	10
20230413 033435	-0.973762301259142	3801	573	12	5	52137000	11
20230413 033451	-0.645764183163244	7560	1149	3	5	50340000	12
20230413 033509	0.0816108253119248	5992	2606	8	5	0	13
20230413 033544	-0.952528139863474	5585	2598	11	5	51165000	14
20230413 033608	-0.0411513211904093	2054	10	5	5	53163000	15
20230413 033653	-0.625215984112583	6462	341	18	5	49995000	16
20230413 033729	-0.751181858466254	4472	2069	20	5	52833000	17
20230413 033758	-0.149693194254149	7622	3801	20	5	49452000	18
20230413 033908	-0.0652184529854512	25	11	20	5	30042000	19
20230413 033930	-0.180142589092251	4053	963	4	5	50328000	20
20230413 034005	-0.698435473228725	2435	1074	11	5	53046000	21
20230413 034041	-0.295199592613377	5057	2375	15	5	51444000	22
20230413 034056	-0.733612702212142	5584	2771	3	5	50340000	23
20230413 034138	-0.244058450018852	8000	12	16	5	49815000	24
20230413 034249	-0.737949275722496	26	1	20	5	35196000	25
20230413 034324	-0.655192364025567	3673	1420	12	5	52920000	26
20230413 034356	-0.360460406209095	339	1	8	5	51996000	27
20230413 034422	-0.973200731802106	2253	1	7	5	51609000	28
20230413 034451	-0.852758472114521	7381	3178	13	5	49710000	29
20230413 034525	-0.129932696077489	2560	1	10	5	51771000	30
20230413 034554	-0.0841765262659919	8000	1761	10	5	50328000	31
20230413 034628	-0.699319426457196	5164	1205	12	5	51288000	32
20230413 034705	-0.256788969088694	2226	2	11	5	54162000	33
20230413 034721	-0.506774093754512	3013	1487	3	5	50340000	34
20230413 034753	-0.996985738125184	8000	956	11	5	50328000	35
20230413 034826	-0.551351699265995	5340	2663	19	5	51147000	36
20230413 034844	0.0977386396036028	3706	1	11	5	0	37
20230413 034914	-0.37005078681209	4488	3	9	5	51408000	38
20230413 034930	-0.0667355405820429	2510	1255	3	5	50340000	39
20230413 034955	-0.533720194508522	7998	9	8	5	50199000	40
20230413 035054	-0.318517146596286	2607	1	20	5	51567000	41
20230413 035109	-0.615673564081927	2786	1388	3	5	50340000	42
20230413 035142	-0.797750417450651	4211	2098	12	5	53139000	43
20230413 035210	-0.655032651041443	8000	3994	20	5	49452000	44
20230413 035225	-0.221465311417202	1932	1	3	5	49077000	45
20230413 035307	-0.253068566021803	4087	5	14	5	50757000	46
20230413 035342	-0.281696295900332	2081	1040	11	5	52764000	47
20230413 035410	-0.220810083596192	7122	3560	11	5	49452000	48
20230413 035442	-0.366844428835608	7999	2362	20	5	50673000	49
20230413 035518	-0.777803501828707	7997	1682	20	5	50328000	50
20230413 035557	-0.465139904708354	5964	806	20	5	50640000	51
20230413 035613	-0.95905898290527	6088	1	3	5	50340000	52
20230413 035655	-0.252449323182762	2036	1012	20	5	51114000	53
20230413 035726	-0.75059162951434	3468	1734	9	5	52938000	54
20230413 035743	-0.99998648651913	3374	1687	3	5	50340000	55
20230413 035819	-0.344159864536959	2202	5	10	5	54771000	56
20230413 035853	-0.446718587501901	2384	3	9	5	53982000	57
20230413 035926	-0.411627844530208	2920	1460	10	5	52938000	58
20230413 035954	-0.380195957779363	2271	5	8	5	54495000	59
20230413 040009	-0.0541515208243149	7997	3998	3	5	50340000	60
20230413 040040	-0.166197683576307	5313	2652	12	5	51159000	61
20230413 040107	-0.9995906112746	7629	3811	20	5	49452000	62
20230413 040202	-0.524275334524812	2877	2	20	5	51069000	63
20230413 040238	-0.93403266391272	2872	1434	20	5	52434000	64
20230413 040307	-0.248568152157388	7810	2387	20	5	50673000	65
20230413 040325	-0.0567244757066158	7967	8	5	5	49992000	66
20230413 040355	-0.19262305447362	2385	325	9	5	51426000	67
20230413 040424	-0.783296679590146	6162	3078	20	5	50283000	68
20230413 040456	-0.469173962747672	3772	1886	20	5	52938000	69
20230413 040529	-0.999693205998323	4294	2136	20	5	53166000	70
20230413 040602	-0.503180770017025	2389	769	11	5	51816000	71
20230413 040635	-0.306718182573395	2238	1	9	5	51981000	72
20230413 040711	-0.352349976020169	3939	1966	20	5	52947000	73
20230413 040751	-0.362682038586445	2111	2	11	5	54438000	74
20230413 040834	-0.999980708482538	1762	865	20	5	51252000	75
20230413 040850	-0.809786799726302	7993	50	3	5	50340000	76
20230413 040924	-0.839759217523901	3974	1982	20	5	52944000	77
20230413 040952	-0.497593115489606	8000	3996	20	5	49452000	78
20230413 041029	-0.683917670417808	3443	1720	20	5	52938000	79
20230413 041045	-0.680425898384788	3150	5	3	5	50340000	80
20230413 041100	-0.421856397025619	2281	3	3	5	50340000	81
20230413 041130	-0.239529524216458	3358	1677	10	5	52938000	82
20230413 041203	-0.889402888566813	3938	1969	16	5	52947000	83
20230413 041229	-0.0587401990928545	7987	3988	13	5	49452000	84
20230413 041248	-0.133575139521284	7999	2001	5	5	50337000	85
20230413 041319	-0.683226319846767	4355	2176	15	5	53172000	86
20230413 041345	-0.345133902136145	4448	2216	8	5	53025000	87
20230413 041414	-0.958498086901157	8000	2180	20	5	50673000	88
20230413 041443	-0.438426191413288	5801	2897	20	5	50442000	89
20230413 041515	-0.60709029930914	3959	1979	20	5	52944000	90
20230413 041530	-0.588182557605732	7999	3997	3	5	50340000	91
20230413 041605	-0.81843996176639	3032	1508	15	5	52938000	92
20230413 041619	-0.91498825170233	7998	3999	3	5	50340000	93
20230413 041634	-0.764541060499335	7999	3999	3	5	50340000	94
20230413 041703	-0.577173243533033	8000	1922	20	5	50328000	95
20230413 041725	-0.0860072536213359	6442	3221	6	5	49683000	96
20230413 041752	-0.472479456931664	4491	2245	8	5	53007000	97
20230413 041823	-0.347266617420588	2302	939	10	5	52872000	98
20230413 041910	-0.456104110097085	7998	2	20	5	49842000	99
20230413 041924	-0.0501153362632391	2836	3	3	5	50340000	100
20230413 041948	-0.138966538661461	1957	971	6	5	51549000	101
20230413 042015	-0.643989016924191	2896	652	8	5	51960000	102
20230413 042044	-0.156499612953221	7995	11	10	5	49980000	103
20230413 042134	-0.999981228165259	5122	3	20	5	50019000	104
20230413 042207	-0.771170456422428	3717	1858	16	5	52938000	105
20230413 042238	-0.913132064486642	2453	1200	10	5	53037000	106
20230413 042310	-0.868032696899883	3495	3	10	5	52263000	107
20230413 042325	-0.343369073211934	7989	3989	3	5	50340000	108
20230413 042339	-0.385869264701894	7990	2183	3	5	50340000	109
20230413 042413	-0.387437572149659	2171	1	10	5	52083000	110
20230413 042438	-0.358733867970874	2538	3	7	5	52170000	111
20230413 042525	-0.373684995775307	1722	2	15	5	54222000	112
20230413 042540	-0.0288402334928069	1823	907	3	5	50217000	113
20230413 042624	-0.340948521443614	1571	2	14	5	54738000	114
20230413 042716	-0.459614912912468	56	17	16	5	38715000	115
20230413 042743	-0.436932407765606	3043	1518	8	5	52938000	116
