fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230424 225056	-0.144174626744643	6861.92451440924	2050.61414582605	12	5	40557000	1
20230424 225109	-0.805159740212548	5360.3669000777	1335.32500242916	10	5	40122000	2
20230424 225125	-0.363558041088981	5847.3699902918	912.053101255369	18	5	41694000	3
20230424 225132	-0.383298760173784	3708.00383783897	269.969763116183	3	5	45309000	4
20230424 225145	-0.70606137507275	6078.37898293554	2639.12537668334	10	5	42417000	5
20230424 225155	-0.0553258731495588	7500.86011672049	165.060999823734	6	5	34680000	6
20230424 225205	-0.991761906030297	2339.90783529177	591.491111785683	5	5	41802000	7
20230424 225214	0.0537343258684915	4739.23788521475	1781.35844029059	17	5	0	8
20230424 225226	-0.475093580425406	7512.05276472396	1140.48967242932	9	5	38235000	9
20230424 225239	-0.0723919028002354	6061.74265460611	2434.5372880102	14	5	42642000	10
20230424 225256	-0.950017345119785	3936.65454232237	157.033592526102	15	5	38163000	11
20230424 225305	-0.76154260172043	3728.00017650384	575.247734808084	4	5	46170000	12
20230424 225316	-0.169611239270307	7156.58097261339	1697.60684827827	8	5	41238000	13
20230424 225327	-0.920229226350784	2601.68832264996	596.892087341752	6	5	46560000	14
20230424 225341	-0.323372917242038	6325.16842042895	1708.04246066418	14	5	43047000	15
20230424 225355	-0.0596848659683018	5978.35403927555	1668.04804291646	12	5	43047000	16
20230424 225406	0.0975761200155491	7.20505739312838	1.09465768236211	12	5	0	17
20230424 225415	-0.92597803896321	3222.26948922435	4.64701373136199	3	5	45309000	18
20230424 225424	-0.402374795254357	2826.26660986085	1402.68578847682	3	5	47655000	19
20230424 225433	-0.861163551322357	553.993807112533	275.48801958064	3	5	45756000	20
20230424 225442	-0.678523809051125	1893.31191381908	943.721768036181	3	5	47655000	21
20230424 225452	-0.579955876887991	2865.47471368673	1429.33726712839	3	5	47655000	22
20230424 225504	-0.993749984139943	9.37148106071128	2.92058853157122	6	5	46335000	23
20230424 225514	-0.573434570733894	7536.32472773037	693.829945540558	4	5	45729000	24
20230424 225525	0.0332150653419423	4280.36233880335	2139.14214419427	4	5	0	25
20230424 225533	-0.635833682002003	4485.23624250519	172.201167519894	3	5	45309000	26
20230424 225545	-0.306070259329045	2237.22391839273	1118.34115110252	5	5	41940000	27
20230424 225554	-0.505184505538138	2117.44902453164	636.474450218079	3	5	48102000	28
20230424 225612	-0.583950542626233	2274.2084050722	516.597489922164	14	5	43149000	29
20230424 225621	-0.513323627125881	3841.80027010642	1216.96034459938	3	5	47655000	30
20230424 225630	-0.999970192135816	7995.49411577243	1.52016078138771	4	5	43641000	31
20230424 225639	-0.399096242551411	5994.67542605427	2722.25495252874	3	5	47655000	32
20230424 225648	0.0894433439078504	7995.84114262111	2088.32371934847	3	5	0	33
20230424 225701	-0.923124769211626	19.0323777981452	5.02323489056028	6	5	45996000	34
20230424 225710	-0.559996886951325	6255.16249767892	3124.64535667595	3	5	47655000	35
20230424 225719	-0.909307975883791	7999.24673286437	2240.73143362984	3	5	47655000	36
20230424 225728	-0.892456703723903	7999.87518148459	264.722147732082	3	5	45309000	37
20230424 225738	-0.888491865823098	3536.237894985	1767.32592280676	3	5	47655000	38
20230424 225747	-0.730287118445839	193.99458913481	96.119842273882	3	5	45630000	39
20230424 225757	-0.541654277973435	248.440730767074	123.734963910957	3	5	45630000	40
20230424 225805	-0.620139121521692	7997.5110478658	3687.75255906427	3	5	47655000	41
20230424 225814	-0.435247340500846	4095.49611798486	2044.18287257201	3	5	47655000	42
20230424 225824	-0.349204730239767	7820.67566679001	3746.34791836679	3	5	47655000	43
20230424 225835	-0.908223473366233	7994.65411666149	3996.39146465558	5	5	41802000	44
20230424 225844	-0.365201517882874	4979.87885839812	2475.90053823491	3	5	47655000	45
20230424 225853	-0.600929739112925	5500.64322141988	2746.65365513761	3	5	47655000	46
20230424 225902	-0.669484952673056	7665.03287545291	1990.36376887596	3	5	47655000	47
20230424 225911	-0.660577960551082	4767.78620263284	2377.68220612464	3	5	47655000	48
20230424 225921	-0.26595408260739	7984.92178088062	3989.1327978758	3	5	47655000	49
20230424 225935	-0.254273251025547	7992.98358814722	3984.15271161758	20	5	39627000	50
20230424 225944	-0.71536457967724	3119.19991627467	1552.46780305946	3	5	47655000	51
20230424 225953	-0.304562923841024	7679.35039267569	3833.01895634031	3	5	47655000	52
20230424 230002	-0.277276795210843	7995.67051902876	2048.73022624924	3	5	47655000	53
20230424 230011	-0.913345175823372	6386.04102991942	1482.05370962489	3	5	47655000	54
20230424 230020	-0.512335047106174	2619.02346923225	1305.92928384133	3	5	47655000	55
20230424 230029	-0.680105092597487	7992.83301683349	3977.2850659994	3	5	47655000	56
20230424 230038	-0.745116753403329	7999.3910093125	2515.78068270531	3	5	47655000	57
20230424 230048	-0.583165514429916	7978.24349412814	3920.15264435185	3	5	47655000	58
20230424 230104	-0.606876204664532	7507.06767551323	3160.09640302344	19	5	38928000	59
20230424 230114	-0.453293552169533	1007.20839106183	502.661332024797	3	5	48102000	60
20230424 230127	-0.705033542093299	2594.03703318605	855.344166634903	7	5	46635000	61
20230424 230136	-0.276582780951437	6307.7283747917	3138.95764128577	3	5	47655000	62
20230424 230145	-0.475752264300762	1960.36136927088	829.994795792412	3	5	47517000	63
20230424 230155	-0.428368549881454	1547.56108055357	771.704274605754	3	5	47517000	64
20230424 230203	-0.69434271085739	7992.18595412655	2722.93931938822	3	5	47655000	65
20230424 230212	-0.6581583664646	7995.73624460192	3268.5094501952	3	5	47655000	66
20230424 230222	-0.567742483626489	4349.98672887033	2160.57465331383	3	5	47655000	67
20230424 230231	-0.843016476211536	4246.87211027669	2082.66426364851	3	5	47655000	68
20230424 230252	-0.433953989036075	7978.65774912068	5.30601431504452	20	5	35649000	69
20230424 230304	-0.276828829254432	7994.27942827715	3159.72077730217	6	5	38928000	70
20230424 230313	-0.220388271618609	7186.32796460094	1596.43557263148	3	5	47655000	71
20230424 230335	-0.400784964906476	16.1749567760622	6.19453245171024	14	5	40218000	72
