Feature	Gain	Cover	Frequency
rf_019_015	0.122779599534799	0.0042471578853382	0.0027292031866832
rf_002_022	0.0863914446229495	0.00551449860486728	0.00542277708894495
ctrx_quarter	0.0237457046813462	0.00296084560409232	0.000919235538073453
cdescubierto_preacordado	0.0159856107658317	0.00516534875543679	0.00319238388416207
rf_020_022	0.0145222911652605	0.00296869494006818	0.000883606253652002
rf_009_023	0.0139199910987256	0.00195140241898106	0.00500235153277182
mcuentas_saldo_lag1	0.0138711415780135	0.00371958713063063	0.00172445736599826
rf_006_028	0.0138319232560663	0.00386287525162142	0.000676956404007582
mv_status07_delta2	0.0116151933177799	0.001861201374191	0.000342041130445936
mprestamos_personales	0.0109165895211198	0.00975806170909527	0.0020664984964442
rf_014_026	0.0101510136279864	0.000768260350423059	0.000605697835164679
rf_008_013	0.00952108021557588	0.00164499948142632	0.00168882808157681
Visa_mconsumospesos_tend6	0.00935707330224037	0.00313353208233257	0.00502372910342469
foto_mes	0.0092050808741361	0.00784357003244756	0.00354867672837659
rf_017_015	0.00840143050361948	0.00194675978321558	0.00245842062508017
exp_consultas_limsueldo_delta1	0.00691818089544969	0.00271547424884014	0.00601422321034104
mcomisiones_mantenimiento_tend6	0.00616018129016644	0.00511789363925309	0.00245842062508017
ctrx_quarter_normalizado	0.00614210391466643	0.00293650942812841	0.00104750096199068
rf_001_022	0.00592217174145099	0.002256246719312	0.00459617769036727
Visa_mpagado_tend6	0.00588386877510356	0.00180645195172216	0.00143229723374236
mpasivos_margen	0.00585609984984943	0.00380949510939379	0.00279333589864181
mcaja_ahorro	0.0057597571945702	0.00393544198105443	0.00121852152721365
vm_status01	0.00565926080739785	0.00160980133560161	0.00100474582068494
rf_020_021	0.00496004061584998	0.00254543235122978	0.00825174227200821
mcuentas_saldo	0.00461072181128925	0.00556533668523587	0.00250117576638591
mprestamos_personales_delta2	0.00449200861336114	0.0063252167342167	0.00135391280801516
fm_rat_hb_lag2	0.00435647732629026	0.0035098403496089	0.00901420895862728
mtarjeta_visa_consumo	0.00421120969017944	0.00125990989405288	0.001104507817065
