Feature	Gain	Cover	Frequency
rf_019_015	0.160356813831911	0.00433909869085168	0.0033883192153366
rf_002_022	0.0685061087635435	0.00449915183814234	0.00499331252786447
mcuenta_corriente_tend6	0.0297474124729044	0.00950391772876056	0.00394115024520731
ctrx_quarter_normalizado	0.0277494524282034	0.00279458290801592	0.00103432902362907
rf_020_022	0.024494663454147	0.00339355521904842	0.000891662951404369
rf_009_023	0.0227783357332838	0.00206460279244639	0.00479714667855551
rf_017_015	0.0157315756844491	0.00231344274936887	0.00274632189032546
cdescubierto_preacordado	0.0156076906139511	0.00502258860539611	0.0031029870708872
rf_008_013	0.0152266976603159	0.00200776164102304	0.00208649130628622
Visa_status	0.014641221547636	0.00216800488257259	0.00135532768613464
foto_mes	0.0117418590396542	0.00912666683861175	0.00501114578689256
rf_006_028	0.0113286194276151	0.00222373656192732	0.000552831029870709
rf_014_026	0.0112993823598414	0.00162776533750695	0.000588497547926884
mprestamos_personales	0.0104555212335544	0.00955701741530024	0.00237182345073562
cproductos_delta2	0.00781067975531155	0.00425767411173286	0.000713330361123495
fm_cuenta_sueldo	0.00745755792636616	0.00354846345462211	0.00128399465002229
rf_001_022	0.0072387535277118	0.00274455963912183	0.00501114578689256
mcuentas_saldo	0.00714959673730303	0.00484124150909295	0.00292465448060633
mcaja_ahorro	0.00691218148223425	0.00273302904431328	0.00128399465002229
mpasivos_margen	0.00596855130991166	0.00337210467194013	0.00279982166740972
mcomisiones_mantenimiento_tend6	0.00547518655737618	0.00428506563443413	0.00201515827017387
rf_020_021	0.0047312611470544	0.00268964585974942	0.0086312973695943
mrentabilidad_annual_lag2	0.00456333986804626	0.0047830299123303	0.00641997325011146
thomebanking	0.00431927592213211	0.00300685530155945	0.00634864021399911
rf_014_024	0.00426685535081396	0.00120326012394591	0.00322781988408382
mprestamos_personales_delta1	0.00407169623613732	0.00603405662484931	0.0015514935354436
rf_004_027	0.00402289479140932	0.00159439800037641	0.00299598751671868
mprestamos_personales_delta2	0.00400081860727303	0.00833423531763616	0.00158716005349978
mactivos_margen	0.00387052508108455	0.00415007743985012	0.0039589835042354
ccomisiones_mantenimiento_tend6	0.00365410831508052	0.00636809329525694	0.000998662505572893
mactivos_margen_delta2	0.00364589799527213	0.00515165412714293	0.00677663843067321
fm_ind3_lag2	0.00364496527800066	0.00283501701688755	0.00784663397235845
vm_Fvencimiento_tend6	0.00344143267459726	0.00192545704561947	0.00238965670976371
fm_cons_saldo_tend6	0.00332357029915478	0.00372605389263428	0.00790013374944271
ctrx_quarter_delta2	0.00331530244027019	0.00330370967626169	0.0031029870708872
mtarjeta_visa_consumo	0.00331483578068951	0.00129751663087607	0.00119482835488185
fm_ind3_delta2	0.00330714284383642	0.00285968545699693	0.00738296923762818
ctarjeta_master_delta2	0.00321578361201042	0.000355612580792972	7.13330361123495e-05
rf_017_017	0.00319226327201368	0.00112682025443073	0.00144449398127508
fm_rat_hb	0.0030604755819641	0.00271660815102745	0.00620597414177441
mcuenta_corriente_lag1	0.00302583928883067	0.00314189324571902	0.00271065537226928
fm_cconsultas_delta2	0.00297149841319636	0.00227480351190304	0.00101649576460098
vm_status01	0.00294712230531708	0.00243963424378886	0.00131966116807847
Visa_mpagominimo_delta2	0.00293305224600825	0.00330992491052335	0.00404814979937584
rf_018_023	0.00292909550360864	0.000976684020758345	0.000534997770842622
Visa_mpagominimo_lag1	0.0028583627143675	0.00286683116378902	0.00445831475702185
Visa_cconsumos_tend6	0.00284383162781402	0.00309679454880242	0.00597414177440927
Master_fultimo_cierre_tend6	0.00282106503254799	0.00631279084732545	0.00606330806954971
ctarjeta_visa_transacciones_tend6	0.00280051128675817	0.00247912791608155	0.00215782434239857
mcuenta_corriente_delta1	0.00277734345334579	0.00300586122871936	0.00187249219794918
ctrx_quarter	0.00277298084011449	0.00484630239773416	0.0014088274632189
fm_ind3_lag1	0.00274671444153593	0.0021653751511019	0.0057958091841284
fm_cons_saldo	0.00271670475977379	0.00392581257191584	0.00707980383415069
vm_status04	0.00268932626203621	0.000645757476160433	0.000606330806954971
fm_cons_saldo_lag2	0.00263870733378102	0.00297515782589271	0.00725813642443157
mcuenta_corriente_lag2	0.00263773505495493	0.00354920581156994	0.00337048595630852
ccaja_ahorro_tend6	0.0025876591908753	0.00580754892732815	0.000731163620151583
Master_fechaalta	0.00257783079801846	0.00373933823064839	0.0065091395452519
mrentabilidad_annual_delta1	0.00257167312238706	0.00420217754152287	0.0060811413285778
Visa_mpagominimo_tend6	0.00251995868557109	0.00303513249390633	0.00385198395006687
mcomisiones_lag2	0.00249846667856038	0.00264369944137197	0.00520731163620152
rf_001_014	0.00249537960900298	0.000599811269784015	0.00158716005349978
mrentabilidad_annual_delta2	0.0024842248277529	0.0034902652845915	0.00659830584039233
Master_Fvencimiento	0.00247949041745466	0.00391005107250723	0.00683013820775747
fm_rat_hb_lag2	0.00246215376236891	0.00260197035952851	0.00654480606330807
mactivos_margen_lag1	0.00245042514249847	0.0036474376205223	0.00337048595630852
ctrx_quarter_tend6	0.00244811642684061	0.00276357591971113	0.00251448952296032
mrentabilidad_annual	0.00241792209777203	0.00302847813483993	0.00401248328131966
mcomisiones_otras_lag2	0.0024043431526183	0.00330686064760361	0.00552831029870709
fm_cons_saldo_delta2	0.00239545691775959	0.00249604376111061	0.00690147124386982
exp_consultas_limsueldo_delta1	0.00239376147578461	0.00211962872036484	0.0057958091841284
fm_rat_hb_lag1	0.0023914732269761	0.00247252168124946	0.00590280873829692
Master_Fvencimiento_lag2	0.00238562996894984	0.00288950488618622	0.00665180561747659
fm_cons_saldo_lag1	0.00237882227404276	0.00261198309761336	0.00638430673205528
fm_ind3	0.00237005043261186	0.00225041660916445	0.00597414177440927
mrentabilidad_annual_lag1	0.00235223525028068	0.0030126000348636	0.00433348194382523
fm_trans_ctarj_delta2	0.00230084428610611	0.00302875868287257	0.00297815425769059
exp_ind3_transtarj_lag2	0.00228723214084831	0.00208206164278598	0.00520731163620152
fm_flujo_vs_capital_delta2	0.00222424525247597	0.00303756584175418	0.00495764600980829
vm_fechaalta_lag2	0.00219566419289053	0.00271578714169666	0.00461881408827463
Master_fechaalta_lag2	0.0021920766568851	0.00354672624749707	0.00602764155149354
mrentabilidad_delta1	0.00218038381014706	0.00365514668472401	0.00574230940704414
fm_ind3_delta1	0.00217741853272681	0.0031051574241875	0.00634864021399911
Visa_mconsumospesos_tend6	0.00216828351296286	0.00314499369014826	0.00590280873829692
Visa_fechaalta	0.00215712653905755	0.00352079081855211	0.00488631297369594
vm_Fvencimiento	0.00215034226795459	0.00376660672208396	0.00529647793134195
Visa_mpagospesos_tend6	0.00213311778019236	0.00355132864857259	0.00545697726259474
rf_013_025	0.00212404651939469	0.00175137614336171	0.00322781988408382
Master_fechaalta_lag1	0.00212327611715891	0.00388785060708096	0.00567097637093179
fm_flujo_vs_capital_delta1	0.00210160334132988	0.00439409988531637	0.00342398573339278
ctrx_quarter_normalizado_delta1	0.00208886487954006	0.0024162265738181	0.00121266161390994
mcuentas_saldo_delta2	0.00206926124472167	0.00256411757522523	0.00328131966116808
chomebanking_transacciones	0.00206835401717004	0.00436227732904063	0.00394115024520731
mcomisiones_otras_delta2	0.00204544483365493	0.0022807285874186	0.00584930896121266
fm_cconsultas_delta1	0.00198436112609258	0.00187827840657573	0.000481497993758359
Visa_Fvencimiento_lag1	0.00197693627139862	0.0029534663749448	0.00534997770842622
mpasivos_margen_delta2	0.00196788967874077	0.00224443514137432	0.00408381631743201
Visa_mpagospesos_delta2	0.00193573453918024	0.00232806976058704	0.00552831029870709
Visa_fechaalta_lag2	0.0019353013705167	0.00267419911120665	0.0039589835042354
Visa_mpagospesos_lag1	0.00193177649930145	0.0026684951527677	0.00469014712438698
Visa_mconsumospesos	0.00192503501773943	0.00364152109571505	0.00506464556397682
exp_rvisa_ind3_lag2	0.00191783447786602	0.0019928092082204	0.00470798038341507
Master_mpagospesos	0.0019106110612017	0.00314761557758077	0.00315648684797147
mcomisiones_lag1	0.00189159939331902	0.0019600672034679	0.00370931787784218
cprestamos_personales_tend6	0.00188741855490522	0.00561179127286071	0.000873829692376282
mactivos_margen_tend6	0.00188488919512701	0.00445228745529537	0.00337048595630852
internet_tend6	0.00187905641944226	0.0031772918354063	0.000909496210432457
fm_eftarj	0.00187385656720149	0.00262070764675942	0.00274632189032546
fm_ind3_tend6	0.00185739618633338	0.00264613483856312	0.00485064645563977
mpasivos_margen_lag1	0.00185642925680471	0.0017557757301164	0.00267498885421311
chomebanking_transacciones_delta2	0.00185391242494658	0.00439698105001129	0.00469014712438698
Visa_mpagominimo_lag2	0.00182902842032114	0.00213591831434472	0.00406598305840392
fm_ant__edad_delta2	0.00182470698497857	0.00299520577417182	0.0042443156486848
cliente_edad_lag2	0.00181880357834393	0.00311487102881589	0.00345965225144895
Visa_msaldopesos_tend6	0.00180345274978121	0.00283593731336843	0.00401248328131966
fm_tot_deb	0.00180338457681068	0.00200140090338626	0.00429781542576906
mcomisiones	0.00179329541647163	0.00175927607915943	0.00372715113687026
mcaja_ahorro_dolares_delta2	0.00177654082416847	0.00368628744568013	0.00139099420419082
Master_Fvencimiento_lag1	0.00176810402603857	0.0021527283708587	0.00527864467231387
mcomisiones_otras	0.00176506882321043	0.00212943645345153	0.00406598305840392
fm_cconsultas_tend6	0.00175532711683267	0.00312850135251457	0.00130182790905038
ctrx_quarter_normalizado_delta2	0.00175084650552557	0.0025123084803027	0.00296032099866251
Visa_mpagospesos_lag2	0.00174501246322878	0.00245887581080841	0.00483281319661168
mactivos_margen_lag2	0.00174346683013991	0.00324711006468105	0.0043869817209095
mrentabilidad_lag2	0.00173695404557467	0.00232714204407004	0.00415514935354436
ctrx_quarter_delta1	0.00173537036285739	0.00238777469262066	0.00165849308961213
rf_008_017	0.00173053063684393	0.00124455467434032	0.00231832367365136
vm_mpagominimo	0.00172969255303374	0.00307248898379319	0.00249665626393223
vm_fechaalta_lag1	0.00172661588334644	0.00278187245679604	0.00362015158270174
mcomisiones_delta1	0.00172412676760678	0.00330197550781811	0.00483281319661168
mcomisiones_otras_delta1	0.00172223616942702	0.00326831582126414	0.00458314757021846
vm_Fvencimiento_lag2	0.00171574035939938	0.00288189694647688	0.0043869817209095
exp_ind3_transtarj_lag1	0.00171385195230175	0.00197279136408786	0.00401248328131966
mrentabilidad	0.00170024559501429	0.00243603135691325	0.00360231832367365
mtransferencias_recibidas	0.00168581376802145	0.00564753231488203	0.00205082478823005
vmr_Master_mlimitecompra	0.00168489234280552	0.00269253416181241	0.00392331698617922
Visa_mfinanciacion_limite	0.00168366501873432	0.00264575528604844	0.00370931787784218
Visa_mconsumospesos_lag2	0.00167644405921372	0.00291666455042525	0.00442264823896567
mpasivos_margen_lag2	0.00167592193591927	0.00302872561071154	0.00383415069103879
mcuenta_corriente_delta2	0.00167464248817523	0.00313188821033835	0.0021221578243424
rf_007_023	0.00166606659400865	0.00163103792677436	0.00379848417298261
chomebanking_transacciones_delta1	0.00166382494364486	0.00382315983477153	0.00370931787784218
Visa_cconsumos	0.00166022107150783	0.00204323598574582	0.00351315202853321
mv_status07_delta2	0.00163730876771779	0.00150131965384933	0.000392331698617922
mprestamos_personales_tend6	0.00163702976207519	0.0043743831533166	0.00108782880071333
Visa_msaldototal_delta2	0.0016323805030276	0.00269320726508972	0.00386981720909496
numero_de_cliente	0.00163032803569615	0.00406712397995392	0.00344181899242086
cproductos_tend6	0.00161490928230671	0.00301190700348926	0.000588497547926884
mcomisiones_otras_tend6	0.00161207478671371	0.00198904477655824	0.003673651359786
mrentabilidad_annual_tend6	0.00159779410070757	0.00321562232870219	0.00344181899242086
ctrx_quarter_normalizado_tend6	0.00157260513712697	0.00189826077586887	0.0022648238965671
fm_flujo_vs_capital_lag2	0.00155894506379936	0.00280906434519197	0.0041016495764601
mcomisiones_otras_lag1	0.00155203669598883	0.00204564693215127	0.00411948283548819
rf_012_017	0.00154676398121656	0.00133643443769823	0.00160499331252786
vmr_mpagominimo	0.00154179633277716	0.0014995121330486	0.0019794917521177
internet_lag2	0.00153095898188245	0.00254533788778788	0.000606330806954971
fm_ant__edad_tend6	0.00151786068935973	0.00434487324563436	0.00383415069103879
rf_012_022	0.00150525764770283	0.000771079625014293	0.000320998662505573
Visa_mfinanciacion_limite_lag1	0.0015036703116408	0.00251602733174293	0.00345965225144895
fm_flujo_vs_capital	0.00150192213518516	0.00384724279869693	0.00304948729380294
Master_mfinanciacion_limite_tend6	0.00149570112025702	0.00239937892245441	0.00294248773963442
chomebanking_transacciones_lag1	0.00149257882890873	0.00217326597085523	0.00379848417298261
mcuentas_saldo_delta1	0.00148813588595929	0.00443195457762895	0.00221132411948284
fm_cons_saldo_delta1	0.00148724785732452	0.00166087184270085	0.00465448060633081
exp_ind3_transtarj	0.00148660887011934	0.00242043938766341	0.0038163174320107
Visa_mpagospesos_delta1	0.00148041227531992	0.00236575838542438	0.00447614801604993
exp_ind3_transtarj_delta1	0.00147656579023561	0.00208811589759717	0.00385198395006687
vmr_mpagospesos_tend6	0.00147222160735149	0.00235596259506251	0.0022648238965671
vmr_mpagominimo_tend6	0.0014700836346106	0.00268773940513365	0.00237182345073562
mcomisiones_tend6	0.00145370641586392	0.00246471191655744	0.0035309852875613
exp_ind3_transtarj_delta2	0.00144320860121125	0.00184420468200582	0.00433348194382523
cliente_edad_lag1	0.00142353357814892	0.00269295682120365	0.00271065537226928
rf_005_025	0.00142166538017994	0.00178734678250093	0.00433348194382523
mttarjeta_visa_debitos_automaticos_tend6	0.00140548793070255	0.00199430756084914	0.00156932679447169
mpasivos_margen_delta1	0.00140195881334933	0.00342146345893223	0.00379848417298261
rf_015_016	0.00140057780286377	0.00156681320340077	0.00178332590280874
fm_flujo_vs_capital_tend6	0.00139824219510189	0.00393145038603274	0.00370931787784218
vmr_mpagospesos_delta2	0.00135965254772347	0.00207658360678037	0.00162282657155595
fm_prop_pp_tend6	0.00135415579968535	0.00245132921006439	0.00033883192153366
exp_rvisa_ind3	0.00133540919511392	0.00146270112181765	0.00287115470352207
fm_rat_hb_tend6	0.00131024796902436	0.00348652389037484	0.00283548818546589
Visa_mconsumosdolares_tend6	0.00130767211939648	0.00301035303592307	0.00317432010699955
exp_rvisa_ind3_lag1	0.00130703468508788	0.00176421506720711	0.00347748551047704
rf_010_015	0.00130269932738232	0.000740872092602015	0.0019794917521177
mcuentas_saldo_lag1	0.00129926150123456	0.00364293323459068	0.00206865804725814
ccaja_seguridad	0.0012844919331735	0.00312368221571711	0.000285332144449398
mrentabilidad_lag1	0.00126180336684497	0.00147509632750261	0.00308515381185912
Visa_fechaalta_tend6	0.00124962639487155	0.00171814978691759	0.00156932679447169
Master_mpagosdolares	0.00124381606404145	0.00120855760573908	0.0031029870708872
Master_msaldopesos	0.00124241583678707	0.00299215684599341	0.00263932233615693
fm_ef_flujo_delta2	0.00123862446698485	0.00325497572697856	0.00347748551047704
cliente_edad	0.00123826826868666	0.00275380528680508	0.00235399019170754
exp_rvisa_ind3_delta2	0.0012355423273381	0.00169601334580305	0.0039589835042354
ctrx_quarter_lag2	0.00123170325360573	0.00346557182836031	0.00271065537226928
Visa_cconsumos_lag1	0.00122795828517754	0.00243872433535856	0.00303165403477486
ctrx_quarter_normalizado_lag2	0.00121948517629805	0.003580234353313	0.00262148907712885
vm_mpagominimo_lag2	0.00121627213576896	0.00138180880662373	0.00206865804725814
fm_cuenta_sueldo_tend6	0.00121109440424522	0.00348925700768225	0.00221132411948284
Master_fultimo_cierre_lag1	0.00119366616935431	0.00245557368273051	0.00303165403477486
mplazo_fijo_dolares	0.00117812715454022	0.00594788237460459	0.000624164065983058
exp_tarjp_transtarj_delta1	0.00117145179140517	0.00117929178191194	0.00228265715559519
vmr_mpagominimo_lag2	0.00116966970790124	0.00141266527419565	0.00231832367365136
Visa_mconsumospesos_delta1	0.00116866116686472	0.00154445465587147	0.00378065091395453
fm_pago_saldo_tend6	0.00115374534908073	0.00240626040529333	0.0031029870708872
vmr_Visa_mlimitecompra_lag1	0.00115205833349948	0.00215544099473299	0.00297815425769059
fm_rat_deb_lag2	0.00114910279252593	0.00271360515640602	0.00312082032991529
vmr_msaldopesos2_tend6	0.0011451427592026	0.00215344133033006	0.00263932233615693
Visa_mlimitecompra_lag2	0.00114174853365392	0.00260181644677912	0.00292465448060633
ccomisiones_otras_tend6	0.00113931937551394	0.00208231208667205	0.00251448952296032
mcaja_ahorro_dolares_delta1	0.00113582649445743	0.00559576413615873	0.00146232724030317
Visa_cconsumos_lag2	0.00113444578432161	0.00213813174645514	0.00322781988408382
vmr_Visa_mlimitecompra	0.00112199751266211	0.00180114501101713	0.00303165403477486
Master_mpagominimo_lag1	0.00111273478301517	0.00217728805443856	0.00281765492643781
exp_rvisa_mcauto	0.00110601155977853	0.00124673998098047	0.000427998216674097
fm_rat_visa	0.00109610800583111	0.00305592173912811	0.0025501560410165
Visa_mfinanciacion_limite_tend6	0.00109377133498481	0.00442740150212693	0.00222915737851092
vmr_msaldopesos_tend6	0.00109224270239508	0.00191892395114349	0.00190815871600535
vm_mfinanciacion_limite_lag1	0.0010840205699562	0.00158579386781666	0.0021221578243424
vmr_msaldopesos	0.0010799353695602	0.00145736237049021	0.0016941596076683
fm_eftarj_delta2	0.00107506805433083	0.00309487290077935	0.00315648684797147
vm_mpagospesos_tend6	0.00107072691600665	0.00145843954773493	0.00153366027641552
rf_015_020	0.00106982416673094	0.00125173415996354	0.00319215336602764
fm_flujo_vs_capital_lag1	0.00105933868699653	0.00456075234207208	0.00272848863129737
fm_eftarj_tend6	0.00105870481410846	0.00344118817630421	0.00260365581810076
vmr_mpagominimo_lag1	0.00104339511416464	0.00147533412199376	0.00187249219794918
vm_mpagospesos	0.00104147652053819	0.00113489650442025	0.000998662505572893
Visa_mconsumosdolares_lag2	0.00103274547515439	0.00202697232655889	0.00278198840838163
vmr_msaldototal_tend6	0.00103096164539756	0.00156369134686727	0.00171199286669639
mrentabilidad_tend6	0.00102928467137205	0.00202558640514424	0.00260365581810076
fm_ef_flujo_lag1	0.00101385230255385	0.00193346884729519	0.00288898796255016
fm_saldo_sueldo	0.00101094393285322	0.00158728847509383	0.00271065537226928
ccaja_ahorro	0.00100883032368578	0.00410361331495198	0.000392331698617922
mpagomiscuentas	0.00100284239973393	0.00205226708838447	0.00106999554168524
fm_ant__edad_lag1	0.00100185166302184	0.0018928981390918	0.00205082478823005
fm_ef_flujo_delta1	0.00100168424143957	0.001919407596165	0.00242532322781988
mttarjeta_visa_debitos_automaticos_delta2	0.00100098883394011	0.00246007100196107	0.00130182790905038
fm_ant__edad_lag2	0.00100093360710848	0.00224338962295041	0.00267498885421311
Master_mpagospesos_lag2	0.00100090038239475	0.00293937551433712	0.00260365581810076
cliente_antiguedad_lag2	0.000990694884174619	0.00183898719526881	0.00215782434239857
mcuentas_saldo_tend6	0.000989141592136543	0.00299021032318256	0.0019794917521177
fm_rat_hb_delta2	0.000986315606485358	0.0014285184993842	0.00208649130628622
rf_003_015	0.00098559300588146	0.000928360505473598	0.00219349086045475
mpasivos_margen_tend6	0.000984880417367435	0.00245210343783407	0.00230049041462327
mtransferencias_emitidas_lag2	0.000984750302434984	0.00234919453277582	0.00224699063753901
Master_mpagosdolares_lag1	0.000982991635498226	0.00152171125580167	0.00294248773963442
mtransferencias_emitidas_tend6	0.000979793367113054	0.00395067110628412	0.00164065983058404
exp_rvisa_ind3_tend6	0.000975250017082699	0.0028526045518537	0.00262148907712885
Master_mpagominimo	0.000973005124444729	0.00220993225604818	0.00228265715559519
