Feature	Gain	Cover	Frequency
rf_019_015	0.264336876707626	0.00899600252194392	0.00705446043455476
rf_002_022	0.0453772661285239	0.00526701160436181	0.00790099568670133
mcuenta_corriente	0.0448992862998668	0.0123804308847112	0.00548232353771113
rf_009_023	0.0322361518705699	0.00414419644860391	0.00907002055871327
rf_020_022	0.0317457836106787	0.00540604014777314	0.00153182569436046
cdescubierto_preacordado	0.0216076901602871	0.00891225059575673	0.00491796670294675
rf_017_015	0.0202158777077137	0.00466260119120046	0.00600636916999234
fm_pres_sueldo	0.0161551523077665	0.00476575129680015	0.00330551860361995
foto_mes	0.0148485205930022	0.0168306584084002	0.00741726125690329
rf_014_026	0.014578195991729	0.00208263394789668	0.00112871366952876
mprestamos_personales	0.0106949507626604	0.0116093899726065	0.00298302898375459
mcomisiones_mantenimiento_tend6	0.0105382215486787	0.0071333470713675	0.00386987543838433
rf_018_023	0.00980356947445416	0.00224474171324479	0.0012093360744951
fm_cs_pres	0.00855185108678831	0.00521938276635155	0.00322489619865361
mpasivos_margen	0.00790601758502731	0.00468048983828122	0.00366831942596848
rf_004_027	0.00769823837821716	0.00285809307849152	0.00419236505824969
rf_007_023	0.00735701806827314	0.00362102373570682	0.00649010359979038
ctrx_quarter_normalizado	0.0073286073814449	0.00579270645877183	0.00221711613657435
rf_012_022	0.0069751317925415	0.00278005415610096	0.00128995847946144
ctrx_quarter_delta2	0.00616649459558657	0.00571495777468161	0.00596605796750917
vm_status01	0.00582551927668343	0.00599522609623183	0.00278147297133874
mcuentas_saldo	0.00565692277799851	0.00700021139154801	0.00411174265328335
cprestamos_personales_tend6	0.00559002262463773	0.00778630702292519	0.00116902487201193
mactivos_margen	0.00549031941008277	0.00628444724325244	0.00564356834764381
mcuenta_corriente_lag2	0.00516264997199919	0.00577436471745554	0.00495827790542992
mrentabilidad_annual_lag2	0.00512535372423727	0.00681964388395848	0.00955375498851131
exp_tarjp_limsueldo	0.00492543665258829	0.00447438912926706	0.00757850606683597
vm_status05_delta1	0.00477344495307888	0.00260672985312484	0.000524045632281211
ctarjeta_visa_transacciones_tend6	0.00469196517504376	0.00386078138685503	0.00326520740113678
mprestamos_personales_delta2	0.00457802192782757	0.00725826783460746	0.00197524892167533
Visa_mpagominimo_tend6	0.00449913410636905	0.00475149004213361	0.00612730277744185
fm_ind3_lag2	0.00448080438353436	0.00526995239263523	0.0121739831499174
exp_rvisa_transtarj	0.0043504737930965	0.0024247790228887	0.00133026968194461
rf_001_014	0.00425301341549407	0.0014136604645804	0.0027008505663724
rf_020_016	0.00425244413882162	0.00241721274493492	0.00358769702100214
fm_cconsultas_tend6	0.00341864852911237	0.00231697630938361	0.00157213689684363
cproductos_delta1	0.00338969604127575	0.00166135525373283	0.000282178417382191
fm_cconsultas_delta1	0.00338000803331437	0.00321961009418102	0.000846535252146572
mcomisiones_lag2	0.00329481545197763	0.00531914822429731	0.00898939815374693
fm_rat_hb_lag2	0.00327664405729174	0.00462234557869875	0.0118111823275688
mrentabilidad_annual_delta1	0.00319175778524999	0.00447508306265786	0.00810255169911719
fm_cons_saldo_lag1	0.00318149556969056	0.00417772468910781	0.00947313258354497
Visa_mconsumospesos	0.00315099768766313	0.00685294609039213	0.0108437134679727
fm_cuenta_sueldo	0.0030996256776422	0.00752698540472928	0.00217680493409118
ctrx_quarter_delta1	0.00308696475337721	0.00373652831829085	0.00245898335147337
mactivos_margen_delta1	0.00307130463235683	0.00507719854105656	0.00761881726931914
Visa_mpagominimo	0.00306540881681504	0.0065967153635098	0.00665134840972306
exp_ind3_transtarj_lag2	0.00305303153754671	0.00385373020859185	0.0086265973313984
mrentabilidad_annual_lag1	0.00304072659790485	0.00423797229685772	0.00657072600475672
chomebanking_transacciones	0.00298430779055008	0.00624168502724782	0.00644979239730721
vm_fechaalta_lag1	0.0029362491086607	0.00501383307035303	0.00685290442213891
rf_003_015	0.00292098924535877	0.00165941505467058	0.00318458499617044
Visa_mpagominimo_lag1	0.00292076477190241	0.00279268260045062	0.00649010359979038
Visa_mconsumospesos_tend6	0.00289726350158841	0.00545828846547877	0.00870721973636474
Master_fechaalta_lag1	0.00289364770193485	0.00603967242730341	0.00979562220341033
fm_cons_saldo_tend6	0.00284849632833025	0.00500861611019697	0.010198734228242
fm_rat_hb_lag1	0.00282685670330657	0.0043328331672828	0.0100778006207925
fm_cons_saldo_lag2	0.00282432677497536	0.00581682467518982	0.0115693151126698
mrentabilidad_delta2	0.00276569627542864	0.00484215007962381	0.00975531100092716
mcomisiones_otras	0.00275016758404401	0.00334623476146295	0.00649010359979038
fm_trans_ctarj_delta2	0.00273672700554374	0.00403093784139248	0.00487765550046358
vm_fechaalta	0.00271608243743883	0.00667895233372022	0.00806224049663402
vm_mpagominimo_lag1	0.0026298658744249	0.00300169316830315	0.00274116176885557
cproductos_delta2	0.00261266809326672	0.00315154305618204	0.000564356834764381
Master_fechaalta	0.00261038327545385	0.00553258653866499	0.00987624460837667
mrentabilidad_lag2	0.0026070987783081	0.00307598288614436	0.00604668037247551
Master_fechaalta_lag2	0.00260100713590689	0.00533369048240919	0.00935219897609546
fm_ind2_delta2	0.00259164267829074	0.00443948225683655	0.0112065142903213
Master_msaldopesos	0.00257987760341089	0.00549748632061926	0.00612730277744185
Visa_cconsumos_tend6	0.00255826943197879	0.00369300811125035	0.00765912847180231
vm_fultimo_cierre_tend6	0.00254054712998969	0.00917298543993929	0.00580481315757649
Visa_mpagospesos_tend6	0.00252985872387799	0.00487161146588299	0.00919095416616278
tcallcenter_delta2	0.00252014041268135	0.002737858197952	0.00169307050429314
fm_ind3_lag1	0.00250582224973112	0.00378391734324084	0.00806224049663402
mcomisiones	0.00249642890237747	0.00359122828223224	0.005925746765026
mactivos_margen_lag1	0.00249294200778039	0.00465803184357516	0.00548232353771113
mv_status07_delta1	0.00249005708929813	0.00150421628013549	0.000322489619865361
mcomisiones_otras_delta2	0.00241002808907396	0.00433314422065316	0.00955375498851131
mcuenta_corriente_tend6	0.00240461939479231	0.00578492059648779	0.00382956423590116
chomebanking_transacciones_delta2	0.00239543118508517	0.00558931214861581	0.00653041480227355
fm_flujo_vs_capital_delta1	0.00237943904909671	0.00860604361867141	0.00560325714516064
Visa_mconsumospesos_lag2	0.00233767206651106	0.00500429302537196	0.00911033176119644
mcuentas_saldo_delta2	0.00233218216158013	0.00507713844120649	0.00544201233522796
ctrx_quarter_tend6	0.00224788686889637	0.00682019592306912	0.0043132986656992
Visa_mpagominimo_delta1	0.00222905181373068	0.00224429096436926	0.00439392107066554
Visa_mconsumospesos_delta1	0.00217629527043046	0.00287603874713734	0.00773975087676865
fm_ind3_delta2	0.00217194105621824	0.0035896431120404	0.0101181118232757
Visa_cconsumos_lag2	0.00216516900324856	0.00360753732935117	0.00681259321965574
mprestamos_personales_delta1	0.00215500947229307	0.00883201348470363	0.00185431531422582
mtransferencias_recibidas	0.00214410885720272	0.00792053871879095	0.0035070746160358
rf_012_020	0.0021410928834324	0.00220541676890915	0.00778006207925182
mprestamos_personales_tend6	0.00210014373084709	0.00374414751342969	0.00128995847946144
Visa_mpagominimo_delta2	0.00209744235699439	0.00354194039519005	0.00572419075261015
mcomisiones_otras_lag1	0.00209522385731276	0.00244405978771608	0.00576450195509332
Master_Fvencimiento_lag1	0.0020907371200235	0.00384676229060876	0.00822348530656669
mcuenta_debitos_automaticos	0.00207611273837384	0.00611857077754996	0.00157213689684363
mcomisiones_tend6	0.00206867941504429	0.00360450082107265	0.00463578828556456
vm_mpagominimo_lag2	0.00205440706818437	0.00270045395687359	0.00399080904583384
Master_Fvencimiento_lag2	0.00204791962287393	0.00308515690838	0.00810255169911719
fm_ind3_delta1	0.00204217443196127	0.00312370436587473	0.00935219897609546
mcomisiones_otras_delta1	0.00199517169219404	0.00515855189688596	0.00733663885193695
Master_Fvencimiento	0.00197899965316796	0.00333880656657933	0.00818317410408353
exp_rvisa_ind3	0.0019366655530935	0.00289730529896202	0.00515983391784577
fm_cuenta_sueldo_delta1	0.00187697558333086	0.00436233105320703	0.0016124480993268
exp_rvisa_ind3_lag1	0.00186505316771011	0.0030114783034045	0.0063288587898577
mactivos_margen_lag2	0.00185513277099292	0.00367977368450999	0.00560325714516064
mcuenta_corriente_delta2	0.00184661382575788	0.00382311754374133	0.00334582980610312
chomebanking_transacciones_delta1	0.00184629134068388	0.00579766454981758	0.00564356834764381
fm_ant__edad_delta1	0.00184623956639985	0.00334770969973467	0.00467609948804773
exp_ind3_transtarj_lag1	0.00181378760889948	0.00315841188270501	0.00628854758737453
exp_ind3_transtarj_delta2	0.00179131039882298	0.00332361640276671	0.00810255169911719
mcuentas_saldo_delta1	0.00178764667426516	0.00575464067958766	0.0027008505663724
fm_ant__edad_delta2	0.00177966587749575	0.00386374694799347	0.00515983391784577
vm_Fvencimiento_lag1	0.0017776101887133	0.00334521115840677	0.00649010359979038
vmr_mpagospesos_tend6	0.00176969747767043	0.00214808165852762	0.00306365138872093
ccaja_seguridad_lag1	0.00176641259403514	0.00271972123588095	0.000282178417382191
mcomisiones_delta1	0.00176637597685345	0.002955886968185	0.00608699157495868
Visa_Fvencimiento	0.00174749947185416	0.00338580523567387	0.00604668037247551
vm_mpagominimo	0.00173541997403996	0.00282930906151812	0.00253960575643972
Visa_Fvencimiento_lag2	0.0017251161076769	0.00318157289907188	0.00624823638489136
Visa_Fvencimiento_lag1	0.00170879184566107	0.0031728013992467	0.00653041480227355
mrentabilidad_lag1	0.00170065330287853	0.00373981621984466	0.00568387955012698
Master_mpagospesos_lag1	0.0016861254880898	0.0069153196203995	0.00572419075261015
exp_rvisa_limsueldo_tend6	0.0016845640185505	0.00329702749617085	0.00636916999234087
numero_de_cliente	0.00168394163725208	0.00545783654392325	0.00507921151287943
mttarjeta_visa_debitos_automaticos_tend6	0.00167144900308221	0.00344940069824267	0.00237836094650703
rf_015_022	0.00166413205105341	0.0025659374463525	0.00584512436005966
mrentabilidad	0.00166379728096473	0.00275641087508353	0.00386987543838433
mactivos_margen_tend6	0.001642508859593	0.00557056422026405	0.0043132986656992
vm_mpagominimo_delta1	0.00163545624997606	0.00206755562843918	0.00177369290925948
fm_flujo_vs_capital_tend6	0.00162887788249016	0.00464366108991348	0.00584512436005966
fm_cuenta_sueldo_tend6	0.00162136476435187	0.0055430307199271	0.00411174265328335
mrentabilidad_annual	0.00161766556374824	0.00397681279592967	0.00499858910791309
ctrx_quarter	0.00160742326230421	0.00628876856905746	0.00209618252912484
vm_Fvencimiento	0.00159830195247881	0.00359441782525094	0.00616761397992502
cproductos_tend6	0.00158676754384728	0.00280716387920242	0.000685290442213891
mcaja_ahorro_dolares_delta1	0.00157667830536673	0.00524412499511526	0.00141089208691095
mcuentas_saldo_lag1	0.00156909613272648	0.00527509488761119	0.00286209537630508
mpasivos_margen_delta2	0.00156036923547146	0.00284934459251137	0.00636916999234087
mrentabilidad_annual_tend6	0.00153497871961036	0.00433256154527748	0.0051195227153626
mpasivos_margen_lag2	0.00151380976583177	0.00380473124058499	0.00463578828556456
vmr_mpagominimo_delta2	0.00150375737997472	0.00298097367169911	0.00294271778127142
mpasivos_margen_lag1	0.00150142538770039	0.00225719806680424	0.00399080904583384
cliente_edad_lag1	0.00147650649472664	0.00565659759539389	0.00386987543838433
vmr_mpagominimo_tend6	0.00146441519260161	0.00279786672556663	0.00245898335147337
Visa_msaldopesos_lag1	0.00146246061597149	0.00336551156849532	0.0043132986656992
mcomisiones_lag1	0.00144593594797042	0.00232065456679288	0.00463578828556456
ccomisiones_mantenimiento_tend6	0.00142900940452591	0.00820357647074939	0.0012093360744951
fm_flujo_vs_capital_lag1	0.00142249454213523	0.00541179727365482	0.0043132986656992
mcuentas_saldo_lag2	0.00141231987660345	0.00469241408829005	0.00483734429798041
fm_ant__edad_tend6	0.00140415542693648	0.00475265539288496	0.00447454347563188
fm_trans_ctarj_tend6	0.00140020586887697	0.00362065844588639	0.0031039625912041
ctrx_quarter_lag2	0.00137820329727464	0.0075102890800399	0.00524045632281211
vmr_mpagominimo_lag1	0.00136701107604035	0.00224056550658994	0.00399080904583384
mcaja_ahorro_dolares_delta2	0.001361365911628	0.00534246594002937	0.00205587132664167
fm_eftarj_delta1	0.00135250368992651	0.00820320927532396	0.00503890031039626
fm_trans_ctarj_delta1	0.00134481527192657	0.00386413334605392	0.00262022816140605
vm_status01_lag1	0.00132279427596364	0.00424348829041412	0.00100778006207925
vm_Fvencimiento_lag2	0.00131439383416909	0.00227572142693574	0.00544201233522796
vmr_mpagominimo	0.00129234593763834	0.00324027755311	0.0039101866408675
Visa_msaldopesos_tend6	0.0012783480337619	0.00265648651899757	0.00503890031039626
mttarjeta_visa_debitos_automaticos_lag2	0.00126853058954425	0.00277118327164567	0.00366831942596848
exp_tarjp_mcauto	0.0012677997681083	0.00250064848727674	0.00443423227314871
mplazo_fijo_dolares_tend6	0.00126375657310335	0.00807395780483898	0.00100778006207925
mcuentas_saldo_tend6	0.00125518591050324	0.00482681552958601	0.00290240657878825
fm_pago_saldo_tend6	0.00125350406539506	0.00317975260653977	0.00443423227314871
ctarjeta_visa_transacciones	0.00123976915398367	0.00464346246723825	0.0016124480993268
vmr_Master_mlimitecompra_tend6	0.00122724117205267	0.00436136828292591	0.0031039625912041
ccaja_seguridad_lag2	0.0012262771659619	0.00240442217757508	0.000362800822348531
fm_pago_saldo_delta2	0.00117485624565663	0.0035679252250002	0.00342645221106946
ccaja_ahorro_lag2	0.00117229621505215	0.00493833138773042	0.0012093360744951
vm_msaldopesos	0.00114679608858035	0.00156099773897137	0.00237836094650703
thomebanking_tend6	0.00113380649784073	0.0107257943544612	0.00189462651670899
vmr_msaldopesos2_lag1	0.00109662768910443	0.00241899140732699	0.00322489619865361
mttarjeta_visa_debitos_automaticos_delta2	0.00108841600684912	0.00237062011629086	0.00217680493409118
mcaja_ahorro	0.00108508499481929	0.00338234157870485	0.00193493771919216
vmr_msaldopesos2_tend6	0.00107683903960754	0.00348246045308603	0.00362800822348531
vm_cconsumos_tend6	0.00104528054846117	0.0021951111104722	0.00185431531422582
mpasivos_margen_tend6	0.00104094382022521	0.00241756762722033	0.00233804974402386
vm_status05_delta2	0.00103479104075587	0.00302973282664569	0.000806224049663402
Master_mpagospesos_delta1	0.00100509470652923	0.00258590217679067	0.00427298746321603
mrentabilidad_tend6	0.00100458175881412	0.0030353439538672	0.00370863062845165
vmr_msaldopesos_delta2	0.00100303575056872	0.00325556329034274	0.0031039625912041
exp_ind3_consultas_delta2	0.000968746786549849	0.00166410914613102	0.00237836094650703
mtransferencias_recibidas_lag1	0.00096554249338617	0.00486193069930176	0.00326520740113678
vm_mpagominimo_tend6	0.000960087804151163	0.00203420592846548	0.00213649373160801
rf_008_013	0.000950115834387403	0.0014169278442342	0.00177369290925948
ccajas_transacciones	0.000941655658896085	0.0029016839395021	0.00237836094650703
fm_sueldo_acr	0.000937246098409183	0.00311123995014027	0.000806224049663402
ctarjeta_visa_transacciones_delta2	0.000937128462437034	0.00216381008246087	0.00116902487201193
cpagomiscuentas_tend6	0.000919260689093616	0.00534166192130344	0.00137058088442778
chomebanking_transacciones_tend6	0.00091006264840631	0.00232251531678504	0.00326520740113678
mtransferencias_emitidas_delta1	0.000898749936798761	0.00707753146109773	0.00209618252912484
fm_cacr_suel_lag2	0.00089716548233492	0.00134773635269891	0.000604668037247551
vmr_msaldototal_tend6	0.000895625708608026	0.00177996743832047	0.00262022816140605
rf_013_015	0.000890354538186317	0.00114369281757714	0.00209618252912484
vm_cconsumos_delta2	0.000888424728961767	0.00111893417129341	0.000604668037247551
fm_com_sueldo_lag1	0.00086794744642614	0.00201434087582743	0.00322489619865361
mcaja_ahorro_tend6	0.000867628934730724	0.00370438618554855	0.00290240657878825
rf_014_021	0.000865792200252485	0.0015810986468747	0.00233804974402386
vm_msaldototal_delta2	0.000857915778755641	0.00325335044318017	0.00225742733905752
mcaja_ahorro_lag2	0.000856769433415295	0.00223198837847499	0.00253960575643972
exp_ind3_consultas_tend6	0.000855344970442843	0.00350228211656403	0.00221711613657435
vm_mfinanciacion_limite_tend6	0.000845200715778781	0.00488517482936373	0.00233804974402386
fm_prop_pp_delta2	0.000836585130580571	0.00427691069654791	0.000685290442213891
vm_msaldototal	0.000835679537683767	0.00171214900848177	0.0016124480993268
