fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230428 002416	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.137667285762727	0.793306081244082	219	23083	13191	58517794.6026987	1
20230428 002905	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	764	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.112723005062144	0.448062986525329	553	39771	13944	64280923.5382309	2
20230428 003008	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	167	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.29852493919534	0.749764090627723	429	35922	12379	62509236.8815592	3
20230428 003300	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	537	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.189123112790694	0.261734376786771	581	29804	14452	63207058.4707646	4
20230428 003334	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	74	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.239465499761573	0.0157241613510996	647	16454	13329	54051980.5097451	5
20230428 003506	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.070020543175051	0.545002681626938	479	42851	15691	57214016.4917541	6
20230428 003635	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.166437141429924	0.675519476966001	295	19301	10897	62870619.1904048	7
20230428 003926	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	274	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0945800206714193	0.371832536090224	374	4893	12126	64376662.6686657	8
20230428 004123	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.262003088082711	0.420531284037425	99	9920	12939	62088367.3163418	9
20230428 004637	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1231	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0457578993083734	0.979696981934248	32	12995	12644	67216845.5772114	10
20230428 004833	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	377	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.192858085720654	0.168143212159339	821	48946	12949	65331830.5847076	11
20230428 005334	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	293	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0532303516280081	0.578377134049078	845	309	10781	64632472.2638681	12
20230428 005511	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0223143620367046	0.876145056867099	950	44319	16036	58553049.4752624	13
20230428 005755	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	684	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.2224467677754	0.908425438445411	762	26008	12592	61440371.814093	14
20230428 005857	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	123	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.277946706985531	0.120784266322444	1005	8131	10186	64549346.3268366	15
20230428 010047	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	285	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.133991973406228	0.224137415451696	164	32200	13784	65083922.0389805	16
20230428 010419	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1149	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.102710314349685	0.962470304783137	27	42985	13733	63319140.9295352	17
