Feature	Gain	Cover	Frequency
ctrx_quarter	0.183446106607122	0.0103869113052333	0.00293199659510073
mcuentas_saldo	0.0784322491825543	0.0109174047382562	0.00605315426085312
ctrx_quarter_lag1	0.0627620593375795	0.00811178237801793	0.00302657713042656
mpayroll	0.0581119350045967	0.0197148851002879	0.00453986569563984
ctrx_quarter_lag2	0.0331481515983179	0.00258638211255238	0.00217535231249409
mtarjeta_visa_consumo	0.0274212346019622	0.00435281929831654	0.00264825498912324
mpayroll_lag1	0.0215983707880731	0.011654431627396	0.00331031873640405
mprestamos_personales	0.0199939005766237	0.0144960166497271	0.00482360730161733
mcuentas_saldo_lag1	0.0194921285653771	0.0057153834062707	0.00416154355433652
mcaja_ahorro	0.0178426707228144	0.00915107198326992	0.00331031873640405
mpasivos_margen	0.015869318496304	0.0048461118185943	0.00406696301901069
mcomisiones_mantenimiento_tend6	0.0135503726244716	0.00978392171211839	0.00529650997824648
Visa_msaldopesos	0.013415019299	0.00428020064798874	0.00614773479617895
Visa_status	0.0114270204382881	0.0077683621575079	0.00198619124184243
cdescubierto_preacordado	0.0105899487921014	0.00628827809070029	0.00463444623096567
mprestamos_personales_lag1	0.00748654807229141	0.00370195251210286	0.00217535231249409
mpasivos_margen_lag1	0.00746855249959462	0.00245991958129709	0.0028374160597749
ccomisiones_mantenimiento_tend6	0.00694814766024896	0.00434879125402631	0.00085122481793247
thomebanking	0.00678049257550644	0.0041795678525953	0.0107821810271446
mcomisiones_lag2	0.00657951110938335	0.0025649047060279	0.00520192944292065
mcuenta_corriente_lag2	0.0064835426407684	0.00421070000231522	0.00416154355433652
Master_status_tend6	0.00597649185680116	0.000320885943105506	0.00047290267662915
cprestamos_personales_tend6	0.00585652918202041	0.00585197964895087	0.00113496642390996
mrentabilidad_annual_lag2	0.00528163059305841	0.00552039465487097	0.00520192944292065
Visa_mpagominimo	0.00522487449878327	0.00448881015656245	0.00605315426085312
mcomisiones_delta2	0.0048554819903952	0.00186418517906748	0.0037832214130332
ctarjeta_master_delta2	0.00470699505419055	0.00208948005628979	0.00047290267662915
mautoservicio	0.00463686149402102	0.00383994090342369	0.0037832214130332
tcallcenter	0.00449507625883718	0.00594326942309491	0.00368864087770737
mactivos_margen	0.00436702037846705	0.00407894212394623	0.00387780194835903
Master_fechaalta_lag1	0.00394587098324145	0.00458974760715756	0.00860682871465053
mcomisiones_otras_lag2	0.00377230392790046	0.0022992445849709	0.0047290267662915
cmobile_app_trx	0.0034517975587939	0.00418887711051049	0.0146599829755036
cproductos_tend6	0.00325737199207866	0.00719199613120558	0.00151328856521328
ctrx_quarter_delta2	0.00321889601801987	0.00288842026323243	0.00406696301901069
mprestamos_personales_delta2	0.00310127289672614	0.0061695261627452	0.00217535231249409
Master_status	0.00303509461943648	0.00219860236725164	0.00141870802988745
mpayroll_lag2	0.00302227924411348	0.00291148297607698	0.00198619124184243
Master_mlimitecompra_delta1	0.00291254819209074	0.00114335762360249	0.0037832214130332
tcallcenter_delta2	0.00286325003124575	0.00161857262659099	0.00104038588858413
foto_mes	0.0028272777155791	0.00451484639839863	0.00444528516031401
mcuenta_debitos_automaticos	0.00262697140371765	0.00765422010246274	0.00302657713042656
Visa_cconsumos_lag2	0.00257214746604873	0.00235708196166058	0.00529650997824648
mcuenta_corriente_tend6	0.00250289152725399	0.00668951370247308	0.0037832214130332
ccaja_seguridad_lag2	0.00247333939325598	0.00364623672911145	0.00056748321195498
mcuenta_corriente_lag1	0.00246360007830583	0.00269611530430522	0.00397238248368486
mcomisiones_mantenimiento_delta2	0.00246318785915972	0.00329498655584077	0.00293199659510073
cproductos_delta2	0.00244392356369674	0.00564782218932951	0.00085122481793247
ctrx_quarter_delta1	0.00232425153874541	0.00469959465201412	0.00321573820107822
internet_lag2	0.00230502850468929	0.0037215321051674	0.00122954695923579
mcomisiones_lag1	0.00230361666720057	0.00216003364687426	0.00435070462498818
Master_fechaalta	0.00222671386081831	0.00324021614620715	0.00907973139127967
mprestamos_personales_lag2	0.00220966362875407	0.00314948621525588	0.00198619124184243
Visa_cconsumos_tend6	0.00217252676672233	0.0026809194483308	0.00614773479617895
Visa_mconsumospesos_tend6	0.00217075097786396	0.0035915487648288	0.00813392603802138
mrentabilidad_annual	0.00212422042263469	0.00183235656243032	0.0028374160597749
Visa_fechaalta_lag1	0.00210740993880057	0.00345372997537282	0.00690437907878559
ctarjeta_visa_transacciones_tend6	0.00206549735041396	0.00475120622691488	0.0037832214130332
Visa_mconsumospesos	0.00202663128978123	0.00529086601257792	0.0091743119266055
Visa_mpagospesos_tend6	0.00200301449975315	0.00411190691603914	0.0085122481793247
Visa_fechaalta	0.00194338631211597	0.0034789496156375	0.0066206374728081
Visa_fechaalta_lag2	0.00193439340250381	0.00208149384995921	0.00671521800813393
mrentabilidad_annual_delta1	0.00193000358024643	0.0035191185610175	0.00453986569563984
mcuenta_corriente_delta2	0.00186304059166192	0.00350823420430188	0.0037832214130332
mcuenta_corriente	0.00185838936527482	0.00291808017454218	0.00293199659510073
ctrx_quarter_tend6	0.00185464434969619	0.00482912179474402	0.00349947980705571
ccajas_consultas_tend6	0.00185347922499275	0.00606974765822657	0.00113496642390996
thomebanking_lag2	0.00185098020140415	0.00274296938985812	0.00889057032062801
Visa_mpagominimo_lag2	0.00184288783238486	0.00214957643559605	0.00491818783694316
Master_fechaalta_lag2	0.00181830422965444	0.00328651274414874	0.00803934550269555
Master_Fvencimiento	0.00181057761845748	0.00322013167351715	0.00879598978530219
Visa_cconsumos_lag1	0.00179723971675867	0.00201679309409976	0.00416154355433652
mcomisiones_otras_tend6	0.00179673857301402	0.00397836664770157	0.00633689586683061
cpayroll_trx_lag1	0.00177013154399347	2.05508778183439e-05	9.45805353258299e-05
Visa_msaldototal	0.00176879201193597	0.002337199283782	0.00312115766575239
cproductos	0.00175386532433243	0.00356647517061441	0.00037832214130332
mprestamos_personales_tend6	0.00171346882699381	0.00625012630824067	0.00151328856521328
mrentabilidad_annual_tend6	0.00166086317014774	0.00406665855184559	0.00491818783694316
Master_msaldopesos	0.00163713314993151	0.00261598077874427	0.00340489927172988
Master_Fvencimiento_lag2	0.00159708121955802	0.00407140740406144	0.00605315426085312
mcomisiones_otras_lag1	0.00158836303483413	0.00293715724356271	0.0047290267662915
Visa_Fvencimiento	0.00158457646529287	0.00229357155963037	0.00548567104889814
Visa_mpagospesos_delta2	0.00154978040182485	0.0031991159609581	0.00699895961411142
mactivos_margen_delta2	0.00154875466285298	0.00250576783356817	0.00302657713042656
mrentabilidad_delta2	0.00154229243191422	0.00136601424959378	0.00368864087770737
cliente_edad_lag2	0.00154012387658984	0.00474413555657697	0.00501276837226899
mcomisiones_otras_delta2	0.00153787333819684	0.00345241006456349	0.00359406034238154
mcomisiones_mantenimiento	0.00152760137348235	0.00508727153692461	0.00198619124184243
Visa_mconsumospesos_lag2	0.00152416271777853	0.0026687591516597	0.00671521800813393
Visa_cconsumos_delta2	0.0015226031206687	0.00279766128010987	0.00340489927172988
Master_Fvencimiento_lag1	0.00152168756427103	0.00219197690180896	0.00680979854345976
ccaja_seguridad_lag1	0.00151567996081079	0.00132934491306398	0.00018916107065166
mrentabilidad_annual_delta2	0.00151407077798629	0.00199041136698332	0.00425612408966235
Master_mfinanciacion_limite	0.00149417075070985	0.00227373285260564	0.00643147640215644
Master_msaldopesos_tend6	0.00147381002593402	0.00155515723301285	0.0018916107065166
mactivos_margen_tend6	0.00146038037714916	0.00690364390878648	0.00444528516031401
mpayroll_delta2	0.00144570128115589	0.00444780576495929	0.00208077177716826
Visa_msaldototal_tend6	0.00142750981441767	0.00170115381609119	0.0037832214130332
mpayroll_tend6	0.00142673229327841	0.00503589080900656	0.00198619124184243
mtransferencias_emitidas	0.00142289889407673	0.0040938639472779	0.00491818783694316
numero_de_cliente	0.00141947313830809	0.00273643657728606	0.00463444623096567
cprestamos_personales_delta2	0.00141808572004525	0.00482997530042501	0.00066206374728081
Master_mfinanciacion_limite_lag1	0.00141445235681537	0.00222779665862686	0.00605315426085312
mcuentas_saldo_delta1	0.00140264792590752	0.00420911077002606	0.00255367445379741
Visa_mconsumospesos_delta2	0.00139027047069385	0.00277668875321085	0.00680979854345976
Visa_mpagospesos	0.00138519629132981	0.00251483132581809	0.00548567104889814
Visa_mconsumospesos_lag1	0.00138502981835331	0.00415868248221017	0.00643147640215644
ccomisiones_otras_tend6	0.00138023008970262	0.00234463506924564	0.0028374160597749
Visa_mpagominimo_lag1	0.00136397014080953	0.0055209066012408	0.00510734890759482
Visa_mlimitecompra_lag2	0.00134895116120916	0.00171345623284349	0.00406696301901069
mcomisiones_tend6	0.00134081784814655	0.00304779576378858	0.00520192944292065
cliente_edad	0.00133920805153841	0.00279819756748808	0.00397238248368486
Visa_cconsumos_delta1	0.00133497966155535	0.00149683539173699	0.00179703017119077
mrentabilidad_annual_lag1	0.00133325195848213	0.00261503147941739	0.00312115766575239
Visa_Fvencimiento_lag2	0.00130627253762716	0.00187312146991876	0.0047290267662915
ccajas_transacciones	0.00127738833888969	0.00252361764464999	0.00113496642390996
Master_mlimitecompra_lag2	0.00127188955059468	0.00191645082041926	0.00539109051357231
mrentabilidad	0.00127134885621601	0.00218769523991527	0.00331031873640405
internet_lag1	0.00124750659645099	0.00518826630666849	0.00122954695923579
mcuentas_saldo_delta2	0.00123955869430197	0.00375030082149286	0.00312115766575239
Visa_cconsumos	0.00120977292173359	0.00182153031005729	0.00340489927172988
Visa_mconsumosdolares_lag2	0.00119372062308172	0.00331112621478533	0.00359406034238154
Master_msaldototal	0.00119016619182708	0.00133776140560724	0.0018916107065166
Master_fultimo_cierre_tend6	0.00118850796292586	0.00385592116802304	0.00510734890759482
Master_mfinanciacion_limite_tend6	0.00118548986663593	0.00190592215650354	0.00548567104889814
chomebanking_transacciones	0.00117627119543663	0.00348045875815715	0.00349947980705571
Visa_mpagospesos_lag2	0.00116500954047088	0.00239680177617626	0.00539109051357231
Visa_mconsumospesos_delta1	0.00115112260917287	0.00213963117068766	0.0056748321195498
Visa_Fvencimiento_lag1	0.00114655508912054	0.00166247359819155	0.0047290267662915
Visa_mlimitecompra_lag1	0.0011454754058343	0.00158153817493547	0.00359406034238154
cliente_antiguedad_lag1	0.00114122591934359	0.00268142982431299	0.00453986569563984
mttarjeta_visa_debitos_automaticos_tend6	0.00114091818336529	0.00240056285456811	0.0018916107065166
mtransferencias_recibidas	0.00114062118896806	0.00523771938376149	0.00349947980705571
chomebanking_transacciones_lag1	0.0011330730980956	0.00135022400189856	0.00226993284781992
Visa_mpagospesos_lag1	0.00111197488527884	0.00205994499079722	0.0047290267662915
cliente_edad_lag1	0.00110604097207731	0.00288471964476462	0.00226993284781992
mactivos_margen_delta1	0.0011053962248062	0.00297927582519469	0.00331031873640405
Master_mlimitecompra_tend6	0.00110206230665	0.00204274689058497	0.00548567104889814
Master_mfinanciacion_limite_lag2	0.00109992421314171	0.00242478137271387	0.00671521800813393
mcaja_ahorro_dolares_delta2	0.00109983378136777	0.00310921048351653	0.00274283552444907
Visa_mconsumosdolares_tend6	0.0010938769967994	0.00389603122386664	0.00416154355433652
ctarjeta_visa_transacciones	0.00108456038668155	0.00192597836221607	0.00198619124184243
mcaja_ahorro_lag1	0.00107991106253924	0.00185918113886054	0.00179703017119077
cpagomiscuentas_tend6	0.00106770026397625	0.00602009435670979	0.00179703017119077
Visa_mpagospesos_delta1	0.0010635334561891	0.00156354781416009	0.00548567104889814
Master_mconsumospesos_tend6	0.00105032785362091	0.00140613137218174	0.00293199659510073
Visa_msaldototal_lag2	0.00104936804439862	0.00202079601218778	0.00312115766575239
mcaja_ahorro_lag2	0.00103998480929515	0.00307541024520047	0.00236451338314575
mcomisiones_otras	0.00103521738668437	0.0016813630058894	0.00321573820107822
mcomisiones_delta1	0.00103507597865719	0.00376435971681771	0.00274283552444907
Visa_mfinanciacion_limite	0.00103108196136325	0.00232195317540319	0.0047290267662915
chomebanking_transacciones_delta1	0.0010287958653887	0.00643667108531347	0.00236451338314575
cliente_antiguedad	0.00102290982355262	0.00154813995585461	0.00264825498912324
cdescubierto_preacordado_delta2	0.00100237925430335	0.00683588874897206	0.00104038588858413
mrentabilidad_tend6	0.00100175500805086	0.00167131331020313	0.00435070462498818
Master_mpagosdolares	0.00099655240588595	0.000753391113516505	0.00217535231249409
ctarjeta_visa_transacciones_delta2	0.00098634220441562	0.00232347723660539	0.00056748321195498
ccaja_ahorro_tend6	0.000985545397485652	0.00495510614296368	0.00056748321195498
mcuenta_corriente_delta1	0.00097881298240067	0.00439391712798413	0.00245909391847158
Visa_mpagominimo_tend6	0.000974259875516937	0.00368946243402788	0.00435070462498818
mcaja_ahorro_dolares	0.00096913401191309	0.00549818858848269	0.00359406034238154
Master_mlimitecompra_delta2	0.00096247900048842	0.00270403476916121	0.00501276837226899
mcomisiones_otras_delta1	0.000954172304924077	0.00169574854184286	0.00255367445379741
Master_cconsumos_tend6	0.00094630213097115	0.00258097526791642	0.00349947980705571
mrentabilidad_delta1	0.000939416882059646	0.00247851532650673	0.00274283552444907
mpasivos_margen_lag2	0.000934655143302939	0.00356763725746617	0.00331031873640405
ctransferencias_recibidas_tend6	0.000929460065198227	0.00191409445376917	0.00226993284781992
Visa_mfinanciacion_limite_tend6	0.000928433486826227	0.00131999953623312	0.00349947980705571
chomebanking_transacciones_tend6	0.000916523263331882	0.00290559951879303	0.00425612408966235
Visa_mfinanciacion_limite_lag2	0.000908024031839484	0.00197159733789207	0.00368864087770737
Master_cconsumos	0.000907333441269674	0.00114123760029184	0.00255367445379741
mcomisiones_mantenimiento_delta1	0.000905602893119165	0.00193721134498721	0.00179703017119077
mplazo_fijo_dolares	0.000896195748593249	0.00903918657525987	0.00113496642390996
Master_mfinanciacion_limite_delta1	0.000884345231654511	0.00296530173080226	0.00576941265487563
Master_mfinanciacion_limite_delta2	0.00087388863650186	0.00159038338330377	0.0047290267662915
Visa_msaldototal_delta1	0.000872659305892756	0.00116159375004314	0.00312115766575239
Visa_mconsumosdolares	0.00086805858520138	0.00190641996938463	0.00340489927172988
Master_msaldototal_tend6	0.000867214558402877	0.00126298033150258	0.00236451338314575
cliente_antiguedad_lag2	0.000867192943056046	0.00358553418017712	0.0037832214130332
ctarjeta_visa_delta1	0.000850909421684377	0.000809534041945314	9.45805353258299e-05
ccallcenter_transacciones_tend6	0.000844340848304129	0.00602833339545002	0.00198619124184243
Visa_msaldototal_lag1	0.000843455112872566	0.00181648386938413	0.00368864087770737
Visa_mfinanciacion_limite_delta2	0.000841817551632937	0.0022655684072782	0.00444528516031401
Visa_mfinanciacion_limite_lag1	0.000840437340981123	0.00174242988475564	0.00387780194835903
mtransferencias_recibidas_lag1	0.000837845481941826	0.00273902457611269	0.00331031873640405
Visa_mfinanciacion_limite_delta1	0.000831236350102932	0.00127767915978972	0.0037832214130332
Visa_msaldopesos_delta2	0.000827186033517539	0.00189329859547937	0.00340489927172988
mcuentas_saldo_tend6	0.000823860317772177	0.00221509457822082	0.00264825498912324
ccaja_ahorro_lag2	0.000822473431712498	0.00314337819253977	0.000945805353258299
ccajas_transacciones_delta1	0.000811586669841133	0.00205925951659345	0.00056748321195498
mcaja_ahorro_delta1	0.000809075449218023	0.00222076132201079	0.00198619124184243
Master_cconsumos_lag2	0.000807969674148167	0.000777776877945662	0.00198619124184243
chomebanking_transacciones_delta2	0.000791728256199918	0.00260708217719629	0.00217535231249409
ccajas_transacciones_delta2	0.000791653629334193	0.00039058916878426	9.45805353258299e-05
mcomisiones	0.000786489499791285	0.00147472904496369	0.00274283552444907
Visa_msaldopesos_lag1	0.000783588861479113	0.00138859642382125	0.00321573820107822
Visa_mlimitecompra_tend6	0.000779024695981253	0.0014358501730279	0.00359406034238154
Visa_msaldopesos_tend6	0.000778816879273994	0.00194011813250426	0.00293199659510073
Master_mpagominimo_lag2	0.000778429894989761	0.000882002720253733	0.00160786910053911
mprestamos_personales_delta1	0.000777278317211268	0.0048766864807029	0.000945805353258299
Visa_fultimo_cierre_tend6	0.000768163815896486	0.00077118596103101	0.00264825498912324
Visa_mpagominimo_delta2	0.000764333552539038	0.000919937004025552	0.00340489927172988
mcomisiones_mantenimiento_lag1	0.000762643082303101	0.00197408561710371	0.00160786910053911
Visa_msaldopesos_lag2	0.000760542132757851	0.00273288593083764	0.00359406034238154
mpagomiscuentas	0.000750751796450537	0.00315099064661262	0.00255367445379741
mrentabilidad_lag2	0.000741762387240944	0.0023856394608488	0.00321573820107822
mtransferencias_emitidas_tend6	0.000732584252796229	0.0044494766574056	0.00226993284781992
Visa_mlimitecompra_delta2	0.000729435885850267	0.00215434177688209	0.00397238248368486
mttarjeta_visa_debitos_automaticos_lag2	0.000707675161398554	0.00123646355104932	0.0028374160597749
cdescubierto_preacordado_lag2	0.000703758448913392	0.00168556457801358	0.00255367445379741
mcaja_ahorro_dolares_delta1	0.000697286916636162	0.00218765205425524	0.00160786910053911
ctarjeta_debito_transacciones_tend6	0.00068388530575094	0.00212888422289032	0.00170244963586494
mtransferencias_emitidas_lag2	0.000680833699810003	0.00212851675218315	0.00312115766575239
mactivos_margen_lag1	0.000679921626745209	0.00111464387084434	0.00198619124184243
Visa_msaldototal_delta2	0.000679147433568019	0.00106451709745485	0.00340489927172988
mtransferencias_recibidas_lag2	0.000668766868014104	0.00109978015185526	0.00368864087770737
Visa_mlimitecompra_delta1	0.000667153902893124	0.000990554980503159	0.00293199659510073
mpayroll_delta1	0.000664756607791893	0.00179516036084813	0.00226993284781992
Master_Fvencimiento_delta2	0.000660434572589067	0.00121126589621156	0.00226993284781992
mcuentas_saldo_lag2	0.000645831320997638	0.00116112184855806	0.00226993284781992
mplazo_fijo_dolares_tend6	0.000645324950004323	0.00592111910546775	0.000945805353258299
mtransferencias_recibidas_delta2	0.000640041632803137	0.00101966839691505	0.00217535231249409
ccaja_seguridad	0.000635296848696489	0.003514090964996	0.00047290267662915
Master_mpagospesos_lag1	0.000632272703709743	0.0015361131421327	0.00255367445379741
Master_mpagospesos_tend6	0.000628936121465852	0.00174886847406946	0.0028374160597749
Visa_Finiciomora_tend6	0.000624372544976591	0.000726393794446161	0.00037832214130332
mpasivos_margen_delta2	0.000623862179606132	0.000675366403746558	0.00179703017119077
mtarjeta_visa_consumo_tend6	0.000620771823161516	0.00113190557175591	0.00132412749456162
ctransferencias_emitidas_tend6	0.000617920223537485	0.00101215330687573	0.00151328856521328
mtransferencias_emitidas_delta2	0.00061787395659054	0.00470925646195393	0.00179703017119077
mcaja_ahorro_tend6	0.000615830343394862	0.00222255548988666	0.00293199659510073
mcuenta_debitos_automaticos_lag2	0.000607861299505743	0.00192781571575196	0.00245909391847158
mcuenta_debitos_automaticos_lag1	0.000596189256515528	0.000897956288263251	0.00151328856521328
mactivos_margen_lag2	0.000590853495038415	0.0011235456131676	0.00179703017119077
Master_mconsumospesos	0.000590849647409709	0.001406602488473	0.00208077177716826
Visa_mpagominimo_delta1	0.000586324041167079	0.000908542271327741	0.00264825498912324
tcuentas_lag2	0.000584183965731398	0.0047771435343299	0.000945805353258299
Visa_msaldopesos_delta1	0.000578509182865019	0.00101530664525186	0.00245909391847158
Visa_mlimitecompra	0.00057824459619715	0.000904111422608492	0.00302657713042656
mtransferencias_recibidas_tend6	0.000570337712676382	0.00141381449369829	0.00226993284781992
mpasivos_margen_tend6	0.000566563434070684	0.000884386568687481	0.00236451338314575
Visa_mconsumosdolares_lag1	0.000559742467341616	0.00105563734055852	0.00245909391847158
Visa_fultimo_cierre_delta1	0.000556442506605627	0.000989911906765596	0.00122954695923579
Visa_mpagado_tend6	0.000548884081101263	0.00259744549345868	0.00217535231249409
mcomisiones_mantenimiento_lag2	0.00053993751753977	0.00115707888558528	0.00113496642390996
ccajas_transacciones_tend6	0.000532791726128994	0.000261376103581864	9.45805353258299e-05
minversion2	0.000522759899888708	0.00436415828225322	0.00047290267662915
Master_mpagominimo	0.000521976287406491	0.00074330765449602	0.00141870802988745
Master_fultimo_cierre	0.000521749038234692	0.000806615476520992	0.00217535231249409
mpasivos_margen_delta1	0.000519173510014202	0.00451509137887009	0.00264825498912324
Master_fechaalta_tend6	0.000496574546609303	0.000627667449644669	0.00217535231249409
ccomisiones_mantenimiento_delta1	0.000492349955949965	0.00449225087587625	0.00047290267662915
mttarjeta_visa_debitos_automaticos_lag1	0.000491873745262752	0.000783259101188227	0.00236451338314575
chomebanking_transacciones_lag2	0.000485322395142937	0.00122321262016396	0.00217535231249409
cpayroll_trx_tend6	0.000476070927025497	0.00106519786049572	0.00075664428260664
Master_Fvencimiento_tend6	0.000475743870868725	0.000839528445821857	0.00179703017119077
Visa_mpagosdolares_tend6	0.00047378819221391	0.000595852181302427	0.0018916107065166
Master_mpagospesos	0.000469454011261524	0.00105806987100903	0.0018916107065166
ccaja_ahorro	0.000468855192398047	0.0035470431939878	0.00037832214130332
Master_mconsumospesos_delta1	0.000465215869165912	0.000687552611813677	0.00132412749456162
mrentabilidad_lag1	0.000458380614734002	0.00132766616867947	0.00208077177716826
tcuentas_lag1	0.000454840613674878	0.00112776760033106	0.00047290267662915
mtransferencias_emitidas_lag1	0.000452347268781839	0.000630442324600158	0.00226993284781992
Master_msaldopesos_lag1	0.000450027379571505	0.000628114224927542	0.00132412749456162
ctarjeta_visa_debitos_automaticos_tend6	0.000447705037424785	0.00147595551770859	0.00066206374728081
thomebanking_tend6	0.000446407355207753	0.00122382742692405	0.00028374160597749
cplazo_fijo	0.000443125117966536	0.003593800700701	0.00037832214130332
Master_fultimo_cierre_delta1	0.000442362764465439	0.000685527596955101	0.00264825498912324
Master_msaldototal_lag2	0.000442105957406814	0.000559156148182789	0.00113496642390996
Master_mconsumospesos_lag1	0.000440761543772513	0.000994717292936393	0.00151328856521328
Master_mpagominimo_lag1	0.00043876154266461	0.000634519836100966	0.0018916107065166
Master_fultimo_cierre_lag2	0.000432820408013849	0.00101496273035924	0.00198619124184243
Visa_fultimo_cierre_delta2	0.000426955621181798	0.000517683781063647	0.00104038588858413
Visa_Fvencimiento_tend6	0.000424803911564962	0.000994300355018633	0.00132412749456162
Master_fultimo_cierre_lag1	0.000424707621241929	0.000767815909160902	0.00208077177716826
mcaja_ahorro_delta2	0.000414020641908896	0.00102125527362276	0.00198619124184243
mcaja_ahorro_dolares_lag1	0.000411792638993111	0.00127543272027426	0.00160786910053911
cprestamos_personales_lag2	0.000407393890527389	0.0022423109663666	0.00056748321195498
Visa_mpagosdolares	0.000406625473148255	0.000885932615316615	0.0018916107065166
ctarjeta_visa_transacciones_lag2	0.000402851654430361	0.00160268815563753	0.00151328856521328
mtransferencias_emitidas_delta1	0.000401918412678856	0.00232239052836023	0.00104038588858413
Master_fultimo_cierre_delta2	0.00039972179997244	0.000532999771692334	0.00141870802988745
mautoservicio_lag2	0.000397434484697294	0.00159697430021843	0.00293199659510073
tcallcenter_delta1	0.000397128824820887	0.00252517782476786	0.00113496642390996
mextraccion_autoservicio_tend6	0.000396075814992565	0.00164759731610137	0.00132412749456162
matm_lag2	0.000394941941980896	0.00073561589584747	0.00141870802988745
ccomisiones_otras_lag2	0.000386472519638561	0.00076589611027404	0.00037832214130332
ccajas_consultas_delta2	0.000383630857758208	0.000695574151866105	9.45805353258299e-05
mpagomiscuentas_delta2	0.000381673054821126	0.00281975035261916	0.000945805353258299
tcallcenter_tend6	0.000381510478425228	0.00165070589842983	0.00028374160597749
cpayroll_trx	0.000373463672677285	0.00269535052552575	0.00028374160597749
ctransferencias_emitidas_lag2	0.000370217222140497	0.000162301132724843	0.00018916107065166
Visa_mconsumosdolares_delta1	0.000369825124087687	0.000446402315809191	0.00160786910053911
mttarjeta_visa_debitos_automaticos	0.000365251746320636	0.00094723505232848	0.00245909391847158
mpagomiscuentas_lag2	0.000358149956804065	0.000670244584466802	0.00141870802988745
mttarjeta_visa_debitos_automaticos_delta1	0.000355443481621564	0.00159531440048557	0.00132412749456162
Master_mpagospesos_delta2	0.000352886318461621	0.000961269606644955	0.00151328856521328
Master_Fvencimiento_delta1	0.000352549309839996	0.000645725337088457	0.00141870802988745
Master_msaldopesos_lag2	0.000352141182355506	0.00103543744437716	0.00160786910053911
Visa_mconsumosdolares_delta2	0.000351762150207274	0.000556428384856425	0.00160786910053911
Master_msaldopesos_delta1	0.000348843896837131	0.000446239780688708	0.00122954695923579
Master_mpagosdolares_delta2	0.000345855342401078	0.000189156331713992	0.00085122481793247
Master_delinquency_tend6	0.000345269132788919	0.00174905927616741	0.00037832214130332
mcaja_ahorro_dolares_tend6	0.0003411817754978	0.000567100739240979	0.00151328856521328
mcuenta_debitos_automaticos_delta2	0.000340499172057818	0.00247938924722701	0.00122954695923579
Master_mpagospesos_lag2	0.000337246904400773	0.00175919691356139	0.00151328856521328
mtarjeta_master_consumo	0.000332737143189283	0.000780525841505132	0.00056748321195498
mtarjeta_visa_consumo_lag2	0.000328770342376815	0.000797710593422462	0.00160786910053911
ctarjeta_debito_transacciones_delta2	0.000328717852272233	0.00194618689552943	0.00113496642390996
Master_mpagominimo_tend6	0.00032222004317039	0.000752378998684127	0.00113496642390996
internet_tend6	0.000316475547402195	0.00509655174266851	0.00085122481793247
cpayroll_trx_lag2	0.000313906656569757	0.000606656448248533	9.45805353258299e-05
ctarjeta_debito_transacciones_delta1	0.000313767472122818	0.00360301495016412	0.00066206374728081
mautoservicio_delta2	0.000310807238291445	0.00160072595628445	0.000945805353258299
Master_mconsumospesos_lag2	0.000310713691152748	0.00115553205376233	0.00179703017119077
mautoservicio_lag1	0.000310192280213021	0.00130468511599207	0.00255367445379741
catm_trx_tend6	0.000306870369815225	0.00330092654707967	0.00113496642390996
ctarjeta_visa	0.000304866213218472	0.00068883326293207	0.00018916107065166
ccuenta_debitos_automaticos_tend6	0.000303120308316026	0.00254960520446941	0.00056748321195498
ccajas_otras_tend6	0.000300668259933845	0.00586153153175606	0.00066206374728081
cproductos_delta1	0.000296234072610841	0.000859587792309658	9.45805353258299e-05
ctarjeta_visa_transacciones_delta1	0.000287921539185471	0.00191008682451823	0.00056748321195498
mcaja_ahorro_dolares_lag2	0.000286500382813984	0.00121050582859501	0.00170244963586494
active_quarter	0.000282793211364967	0.000602410120076691	0.00085122481793247
mttarjeta_visa_debitos_automaticos_delta2	0.000282114579389138	0.00117763133379126	0.00075664428260664
Master_mpagominimo_delta1	0.000279926754275152	0.000698221825422956	0.00104038588858413
Master_cconsumos_delta1	0.000276747482036228	0.000409479361675931	0.00085122481793247
mextraccion_autoservicio_lag2	0.000270333864361351	0.000830166579920809	0.00170244963586494
ctarjeta_debito_tend6	0.000269979890116026	0.00514628905992389	0.00056748321195498
ccaja_ahorro_delta2	0.000269596081510037	0.00196152644197268	0.00037832214130332
Master_msaldototal_delta2	0.000263437786059804	0.000388710199975973	0.00104038588858413
mprestamos_prendarios_lag1	0.00026308939191802	0.00169107114226452	0.00018916107065166
